date,course,off_time,race_id,winner,winner_sp,VELO_pick,VELO_result,VELO_pos,VELO_sp,VELO_pnl,VELO_tier,VELO_vp,VELO_mds,VELO_place,VELO_core_support,VELO_all_tipster_support,SPOTLIGHT_pick,SPOTLIGHT_result,SPOTLIGHT_pos,SPOTLIGHT_sp,SPOTLIGHT_pnl,POSTDATA_pick,POSTDATA_result,POSTDATA_pos,POSTDATA_sp,POSTDATA_pnl,TOPSPEED_pick,TOPSPEED_result,TOPSPEED_pos,TOPSPEED_sp,TOPSPEED_pnl,RP_RATINGS_pick,RP_RATINGS_result,RP_RATINGS_pos,RP_RATINGS_sp,RP_RATINGS_pnl
2026-05-17,HAM,3.45,pdf_6b3992a4,Mind Those Steps,4.5,Dakota Brave,LOSE,5,9.5,-1.0,X,0.1791,0.0152,0.2358,0,0,Mind Those Steps,WIN,1,4.5,3.5,Mind Those Steps,WIN,1,4.5,3.5,,,,,0.0,,,,,0.0
2026-05-17,HAM,4.15,pdf_7dd7acb6,Red Spells Danger,3.25,Horace Wallace,LOSE,12,34.0,-1.0,A,0.3562,0.1359,0.9301,0,0,Red Spells Danger,WIN,1,3.25,2.25,Go Vince Go,PLACE,3,11.0,-1.0,Marcellinus,PLACE,2,3.75,-1.0,Cotai Lights,LOSE,11,23.0,-1.0
2026-05-17,HAM,4.45,pdf_dcc698ac,Valiancy,2.25,Ride The Thunder,PLACE,3,3.5,-1.0,A,0.382,0.308,0.9729,2,4,Ride The Thunder,PLACE,3,3.5,-1.0,Trojan Sun,LOSE,8,21.0,-1.0,Savrola,LOSE,11,13.0,-1.0,Ride The Thunder,PLACE,3,3.5,-1.0
2026-05-17,HAM,5.15,pdf_3a839772,Vantheman,11.0,Marty Hopkirk,DNF,DNF,21.0,0.0,A,0.3655,0.1975,0.8177,0,0,Reigning Profit,PLACE,2,7.5,-1.0,Reigning Profit,PLACE,2,7.5,-1.0,Manila Scouse,PLACE,3,17.0,-1.0,Station X,LOSE,6,5.5,-1.0
2026-05-17,HAM,5.45,pdf_956b71d2,Plaid,3.0,Plaid,WIN,1,3.0,2.0,B,0.4475,0.2787,0.9861,1,7,Plaid,WIN,1,3.0,2.0,Dunkeld Dreamer,PLACE,2,2.88,-1.0,Dunkeld Dreamer,PLACE,2,2.88,-1.0,Epidavros,LOSE,4,6.5,-1.0
2026-05-17,HAM,6.15,pdf_a8d93092,Mae Amor,67.0,Who Wants Me,LOSE,6,26.0,-1.0,B,0.3387,0.1382,0.9051,0,0,Montezuma,LOSE,13,4.5,-1.0,The Good Biscuit,LOSE,8,9.5,-1.0,Rock Opera,LOSE,4,7.0,-1.0,Jonny Concrete,PLACE,2,3.5,-1.0
2026-05-17,HAM,6.45,pdf_cfe427a2,Letsbefrank,3.5,L'Eagle Aid,DNF,DNF,8.0,0.0,B,0.3316,0.1667,0.9532,0,1,Letsbefrank,WIN,1,3.5,2.5,Fast Fred,LOSE,8,3.75,-1.0,Jaminoz,LOSE,5,23.0,-1.0,Letsbefrank,WIN,1,3.5,2.5
2026-05-17,Naas,1.56,pdf_27854d10,Bobby Mcgee,4.0,Bobby Mcgee,WIN,1,4.0,3.0,B,0.2965,0.0424,0.9181,2,2,Shaftesbury Avenue,LOSE,6,3.0,-1.0,Port Ferdinand,LOSE,4,8.5,-1.0,Bobby McGee,WIN,1,4.0,3.0,Bobby McGee,WIN,1,4.0,3.0
2026-05-17,Naas,2.26,pdf_9d21497c,Jagged Edge,11.0,Senna'S Girl,LOSE,13,15.0,-1.0,B,0.2246,0.0183,0.7863,0,0,Far From Dandy,PLACE,2,4.33,-1.0,Fast Tara,PLACE,3,9.0,-1.0,Glory To Be,LOSE,9,13.0,-1.0,Booyea,LOSE,5,6.0,-1.0
2026-05-17,Naas,2.56,pdf_c29ed256,Your Song,26.0,Cyclone Code,DNF,DNF,26.0,0.0,X,0.1913,0.0152,0.2358,0,0,Star Prospect,PLACE,3,1.67,-1.0,What A Girl Wants,PLACE,2,4.0,-1.0,,,,,0.0,What A Girl Wants,PLACE,2,4.0,-1.0
2026-05-17,Naas,3.26,pdf_157b036e,Totally Puzzled,51.0,Guardian Of Realm,LOSE,6,6.5,-1.0,B,0.1467,0.011,0.2587,0,0,Solana Beach,LOSE,4,7.0,-1.0,Solana Beach,LOSE,4,7.0,-1.0,,,,,0.0,Solana Beach,LOSE,4,7.0,-1.0
2026-05-17,Naas,3.56,pdf_b6cd7d6d,Wannabe Royal,34.0,Rahmi,LOSE,8,17.0,-1.0,B,0.2281,0.0434,0.7518,1,1,Expanded,PLACE,2,3.25,-1.0,King Cuan,DNF,DNF,6.5,0.0,Rahmi,LOSE,8,17.0,-1.0,Native Warrior,LOSE,7,2.62,-1.0
2026-05-17,Naas,4.26,pdf_0cf7aa56,Victorious,1.91,Victorious,WIN,1,1.91,0.91,B,0.2235,0.0152,0.3085,1,1,Victorious,WIN,1,1.91,0.91,Velozee,LOSE,4,2.75,-1.0,Vollering,LOSE,5,15.0,-1.0,Velozee,LOSE,4,2.75,-1.0
2026-05-17,Naas,4.56,pdf_d48c083a,Havana Anna,3.25,Royal Bay Cen,LOSE,4,8.0,-1.0,A,0.3812,0.0698,0.9392,2,3,Charles Darwin,LOSE,8,2.0,-1.0,Royal Bay Cen,LOSE,4,8.0,-1.0,Havana Anna,WIN,1,3.25,2.25,Royal Bay Cen,LOSE,4,8.0,-1.0
2026-05-17,Naas,5.26,pdf_300b1896,Mission Central,2.25,Likedbymike,LOSE,4,8.0,-1.0,B,0.2541,0.0512,0.8925,0,1,Mission Central,WIN,1,2.25,1.25,Mission Central,WIN,1,2.25,1.25,Mission Central,WIN,1,2.25,1.25,Mission Central,WIN,1,2.25,1.25
2026-05-17,RIP,2.17,pdf_4204c21c,Trojan Soldier,5.0,Trojan Soldier,WIN,1,5.0,4.0,B,0.4674,0.2317,0.9222,0,1,Scottish Dancer,PLACE,2,4.0,-1.0,No More Bolero,LOSE,6,3.75,-1.0,,,,,0.0,Rupert The Prince,LOSE,4,4.5,-1.0
2026-05-17,RIP,2.47,pdf_e3ffcb4c,The Can Can Queen,7.0,Crimson Blaze,LOSE,8,13.0,-1.0,X,0.1461,0.011,0.1392,1,2,Bai Tong,PLACE,2,1.73,-1.0,Crimson Blaze,LOSE,8,13.0,-1.0,,,,,0.0,,,,,0.0
