date,course,off_time,race_id,horse,tier,vp,mds,improvement_score,place_prob,assigned_product,cashrun_class,cashrun_score,acca_role,acca_score,rp_support_count,rp_support_tipsters,result,position,sp_dec,pnl,winner,winner_sp_dec
2026-05-02,Doncaster,4:35,rac_11915176,Lady Hornblower,B,0.267,0.0085,0.015,0.321,VISION_ONLY,,,TRAP,36.69,0,,LOSE,9,15.0,-1.0,Reliable Ricki (IRE),3.0
2026-05-02,Doncaster,5:10,rac_11915124,Noelan Star,B,0.3504,0.3648,0.2196,0.7462,PASS,,,TRAP,39.12,0,,PLACE,3,2.0,-1.0,Mountain Cat (IRE),4.5
2026-05-02,Doncaster,5:50,rac_11915137,Rocket Boots,A,0.505,0.2579,0.5848,0.827,VISION_ONLY,,,GLUE,72.99,0,,PLACE,2,4.33,-1.0,Crown Of Ivy (IRE),3.25
2026-05-02,Doncaster,6:27,rac_11915111,Papa Cocktail,B,0.3085,0.0279,0.127,0.7644,VISION_ONLY,,,WILDCARD,48.54,0,,PLACE,2,13.0,-1.0,Rose Of Honour (IRE),3.25
2026-05-02,Doncaster,7:02,rac_11915150,Tazaman,B,0.2355,0.0146,0.0175,0.7786,PASS,,,TRAP,34.1,0,,LOSE,5,19.0,-1.0,Sixpack (GB),3.25
2026-05-02,Doncaster,7:32,rac_11915189,Trucial Pearl,A,0.4542,0.029,0.1428,0.9621,VISION_ONLY,,,GLUE,67.22,0,,LOSE,5,5.0,-1.0,Tekitoff (GB),4.5
2026-05-02,Doncaster,8:02,rac_11915163,Oscar's Sister,C,0.1891,0.0064,0.0282,0.433,PASS,,,TRAP,29.21,0,,LOSE,8,29.0,-1.0,Zubaru (GB),2.75
2026-05-02,Goodwood,12:55,rac_11914799,Ciarrai Abu,A,0.4653,0.235,0.2196,0.824,VISION_ONLY,,,GLUE,70.27,0,,WIN,1,2.0,1.0,Ciarrai Abu (IRE),2.0
2026-05-02,Goodwood,1:30,rac_11939824,Fitzella,A,0.3614,0.0785,0.0783,0.8636,VISION_ONLY,,,BOOSTER,60.92,0,,LOSE,6,3.0,-1.0,Soul Love (GB),12.0
2026-05-02,Goodwood,2:05,rac_11914864,Blue Bolt,A,0.3943,0.2311,0.029,0.9008,VISION_ONLY,,,GLUE,67.45,0,,WIN,1,1.67,0.6699999999999999,Blue Bolt (IRE),1.67
