Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"A BOY NAMED MARY (IRE)",2023,GELDING,"SUPREMACY (IRE)","MARY BOLEYN (IRE)","Nigel Tinkler",50,-3,,,,,,,,,,
"A DIFFERENT KIND (IRE)",2017,GELDING,"DOYEN (IRE)","MA MINX (IRE)","Donald McCain",,,,,,,,,,112,-3,
"A DUBLIN JOB (IRE)",2017,GELDING,"ASK (GB)","COPPERVEGA (IRE)","Sarah-Jayne Davies",,,,,,,110,-1,,,,
"A GOOD YOMP (GB)",2019,GELDING,"CLOVIS DU BERLAIS (FR)","MEWSTONE (GB)","Andrew Martin",,,,,,,,,,99,+1,collateral
"ABASHIRI (GB)",2023,FILLY,"FRANKEL (GB)","SOBETSU (GB)","Charlie Appleby",109,+3,,,,,,,,,,
"ABILA (FR)",2022,FILLY,"CAMELOT (GB)","FAST GAME (FR)","Ian Williams",49,-2,,,,,,,,,,
"ACCADEMIA (GB)",2023,FILLY,"ST MARK'S BASILICA (FR)","UMNIYAH (IRE)","Ed Walker",65,-2,,,,,,,,,,
"ACCOMMODATION (IRE)",2023,FILLY,"PALACE PIER (GB)","ACCOMMODATE (IRE)","Stuart Williams",52,-3,,,,,,,,,,
"ACES WILD (IRE)",2019,GELDING,"DANDY MAN (IRE)","FASHION CENTRAL (GB)","Adrian Wintle",74,+4,,,,,,,,,,
"ACHNAMARA (GB)",2019,GELDING,"KODIAC (GB)","ALBAMARA (GB)","Philip Kirby",49,,,,,,,,,91,-3,
"ADA ROSE (GB)",2023,FILLY,"SHOWCASING (GB)","MESSALINA (IRE)","Kevin Philippart de Foy",51,-1,,,,,,,,,,
"ADVANCE TWENTYFIVE (FR)",2023,GELDING,"VICTOR LUDORUM (GB)","SELFSAME (USA)","Richard & Peter Fahey",78,-4,,,,,,,,,,
"ADVANCING (GB)",2022,GELDING,"LOPE DE VEGA (IRE)","INTISAAR (USA)","Marco Botti",85,-3,,88,new,,,,,,,
"AFFECTION (FR)",2023,FILLY,"BOW CREEK (IRE)","FRAGRANCE (FR)","David Pipe",82,-1,collateral,,,,,,,,,
"AGRIC RANGER (GB)",2023,GELDING,"ACLAIM (IRE)","SPIRIT RANGER (IRE)","Tim Easterby",54,-1,,,,,,,,,,
"AILT AN CHORRAIN (IRE)",2019,GELDING,"MAHLER (GB)","MAZAGEE (FR)","Patrick Neville",,,,,,,105,,,105,new,
"AIM FOR THE BULL (IRE)",2022,GELDING,"SHOWCASING (GB)","ULTIMATE AIM (GB)","Mike Murphy",55,+2,,,,,,,,,,
"AJRAD (GB)",2018,GELDING,"NEW APPROACH (IRE)","PRINCESS CAMMIE (IRE)","Rod Millman",55,-2,,,,,,,,,,
"AKIRRA (IRE)",2023,GELDING,"KODIAC (GB)","WISH FOR ME (IRE)","Clive Cox",78,-2,,,,,,,,,,
"ALBAYDAA (IRE)",2023,FILLY,"PINATUBO (IRE)","MANAAJIM (IRE)","William Haggas",86,+2,,,,,,,,,,
"ALBEGONE (GB)",2018,GELDING,"ALHEBAYEB (IRE)","PACNGO (GB)","Tim Easterby",59,-2,,,,,,,,,,
"ALBERTS BAY (IRE)",2017,GELDING,"LEADING LIGHT (IRE)","MY VIKING BAY (IRE)","Jackie du Plessis",,,,,,,,,,83,-5,
"ALFARAZ (GB)",2023,COLT,"NATHANIEL (IRE)","SEQUILLA (FR)","Andrew Balding",88,-2,,,,,,,,,,
"ALICE DE CLARE (IRE)",2023,FILLY,"SPACE BLUES (IRE)","ELEGANT MAXIME (FR)","James Fanshawe",72,+4,,,,,,,,,,
"ALMERIC (GB)",2022,COLT,"STUDY OF MAN (IRE)","ALVARITA (GB)","Andrew Balding",115,-2,,,,,,,,,,
"ALONDRA (GB)",2022,FILLY,"SERGEI PROKOFIEV (CAN)","WEISSE SOCKEN (IRE)","Scott Dixon",73,-2,,,,,,,,,,
"ALPINE SIERRA (IRE)",2018,GELDING,"DISTORTED HUMOR (USA)","UNACCOMPANIED (IRE)","Jim Goldie",66,+4,,,,,,,,,,
"ALTA RICA (GB)",2022,FILLY,"STUDY OF MAN (IRE)","ALTA MODA (GB)","Marcus Tregoning",61,-2,,,,,,,,,,
"ALVESTA (GB)",2021,FILLY,"STUDY OF MAN (IRE)","ALINSTANTE (GB)","James Moffatt",49,,,,,,,,,80,+4,
