Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"A BIT IFFY (IRE)",2022,FILLY,,A:0,T:40,T:28,M:37,T:43,T:37
"A BIT OF SPIRIT (IRE)",2023,COLT,,T:107,T:102,T:107,T:x,T:x,-
"A BOY NAMED MARY (IRE)",2023,GELDING,"Nigel Tinkler",T:42,T:17,A:33,A:x,A:x,T:x
"A CHARA (GB)",2021,FILLY,"Oliver Greenall & Josh Guerriero",H:x,H:x,-,-,-,-
"A DAUGHTERS LOVE (GB)",2023,FILLY,"David Flood",-,-,-,-,-,-
"A DAY IN BLOOM (IRE)",2022,FILLY,,A:22,A:33,M:36,T:43,T:39,T:0
"A DEFINITE GETAWAY (IRE)",2018,GELDING,"Mickey Bowen",S:106,S:87,S:115,S:113,S:109,S:111
"A DIFFERENT KIND (IRE)",2017,GELDING,"Donald McCain",H:36,H:0,H:116,H:115,H:120,H:100
"A DUBLIN JOB (IRE)",2017,GELDING,"Sarah-Jayne Davies",S:92,S:0,S:110,S:111,S:107,S:97
"A GIRL NAMED IVY (IRE)",2021,FILLY,,A:47,T:57,T:5,T:52,T:65,T:64
"A GOOD YOMP (GB)",2019,GELDING,"Andrew Martin",H:99,H:90,H:92,H:92,H:94,H:96
"A GREAT EXCUSE (IRE)",2020,GELDING,"Max Comley",S:88,S:80,S:0,S:102,S:90,H:x
"A JET OF OUR OWN (IRE)",2017,GELDING,"Mrs N. Sheppard",H:44,H:102,H:69,H:0,H:117,H:127
"A KING OF MAGIC (FR)",2021,GELDING,,H:129,H:x,H:x,H:x,N:x,N:x
"A LA PROCHAINE (FR)",2023,FILLY,"Ralph Beckett",T:98,T:x,-,-,-,-
"A LADY FOREVER (GB)",2019,FILLY,"Gary Harrison",T:42,T:34,A:40,A:33,A:39,A:39
"A LITTLE SOMETHING (GB)",2019,FILLY,"Emma Lavelle",S:89,S:89,S:89,S:0,H:90,H:90
"A LOTT OF KANE (IRE)",2023,GELDING,"Chelsea Banham",A:50,A:47,A:36,A:46,A:45,A:x
"A MAJOR PAYNE (GB)",2021,GELDING,"Michael Bell",T:75,T:75,T:75,T:74,A:74,T:76
"A MERE BAGATELLE (IRE)",2017,GELDING,"James Owen",A:55,H:98,H:94,H:103,H:64,H:103
"A MOMENTS MADNESS (IRE)",2019,GELDING,"Fergal O'Brien",H:121,H:107,S:113,S:107,S:96,S:107
"A PAI DE NOM (GB)",2020,GELDING,"Dan Skelton",H:134,H:129,H:122,H:x,H:124,H:x
"A PATH TO RONDA (IRE)",2020,FILLY,"Jamie Snowden",H:x,H:x,H:x,H:x,H:x,N:x
"A PERFECT DAY (IRE)",2020,GELDING,"Ben Clarke",H:109,H:123,H:113,H:114,H:120,H:119
"A PINT OF BEAR (IRE)",2018,GELDING,,A:38,A:58,A:21,A:50,T:40,T:55
"A ROSE ADAAY (GB)",2022,FILLY,"Grace Harris",T:41,T:34,T:37,T:x,T:x,T:x
"A SWAN SONG (GB)",2022,FILLY,,A:51,T:51,T:x,T:x,A:x,-
"A TASTE OF GLORY (GER)",2023,COLT,"Andrew Balding",T:85,A:84,T:x,T:x,A:x,-
"A TICKATICKATIMING (GB)",2018,FILLY,"Sheena West",H:0,H:92,H:54,H:95,A:40,H:96
"A WAR EAGLE (IRE)",2022,GELDING,"Michael & David Easterby",T:81,T:82,T:84,T:65,T:22,A:82
"AAJEJ (GB)",2022,GELDING,"Richard Phillips",T:71,A:80,A:69,A:69,A:80,T:54
"AALTO (FR)",2020,GELDING,"Ian Williams",T:83,A:65,A:82,T:80,T:93,T:61
"ABANDO (GER)",2022,GELDING,"Jamie Osborne",A:x,A:x,A:x,A:x,-,-
"ABASHIRI (GB)",2023,FILLY,"Charlie Appleby",T:106,A:x,-,-,-,-
"ABATE (GB)",2016,GELDING,,A:62,A:44,T:44,T:48,T:77,T:70
"ABBEY HEIGHTS (GB)",2018,GELDING,,A:71,A:53,T:76,A:86,T:59,A:84
"ABBEY LAW (GB)",2021,FILLY,"Lucy Wadham",H:0,H:0,H:47,H:0,H:x,H:x
"ABBEY SCOPE (GB)",2020,GELDING,"Nicky Richards",H:106,H:0,H:100,H:x,H:x,H:x
"ABDUCTION (FR)",2018,GELDING,"Jim Goldie",T:73,T:58,T:75,A:73,A:57,A:75
"ABERAMA GOLD (GB)",2017,GELDING,"David O'Meara",T:70,T:67,T:80,T:79,A:76,A:75
"ABILA (FR)",2022,FILLY,"Ian Williams",T:32,A:43,A:40,A:50,A:48,A:x
"ABINGWORTH (GB)",2018,GELDING,,S:0,A:x,S:0,S:98,T:91,T:x
"ABLON (FR)",2022,FILLY,"Richard Hannon",A:x,A:x,T:x,M:x,-,-
"ABLOOM (GB)",2022,FILLY,,T:91,T:x,T:x,T:x,T:x,T:x
