date,race_id,course,off,velo_top_pick,velo_outcome,velo_assigned_product,velo_ew_outcome,velo_miss_class,norpr_top_pick,norpr_prob,norpr_outcome,norpr_miss_class,nb_top_pick,nb_prob,nb_outcome,nb_miss_class,champion_top_pick,champion_prob,champion_outcome,champion_miss_class,winner,winner_sp,top3
2026-07-14,923066,Beverley,2.17,Fast Track,WIN,WIN_ONLY,,,Fast Track,0.2224,WIN,,,,NO_DATA,,,,NO_DATA,,Fast Track,1.1,Fast Track|Kokumi|Hair Raising
2026-07-14,923070,Beverley,2.47,What A Tahoo,WIN,VISION_ONLY,,,Roy Lane,0.1365,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,What A Tahoo,5.0,What A Tahoo|Sparkling Wine|Dabbling
2026-07-14,923065,Beverley,3.17,Pendella,WIN,VISION_ONLY,,,It's Debatable,0.2393,PLACE,,,,NO_DATA,,,,NO_DATA,,Pendella,2.1,Pendella|It's Debatable|Tamzan
2026-07-14,923069,Beverley,3.48,Kitsune Power,WIN,PASS,,,Lever Up,0.1257,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,Kitsune Power,5.0,Kitsune Power|Sunny Orange|Star Start
2026-07-14,923068,Beverley,4.23,Pinpoint,MISS,PASS,,mid_priced_won,He's An Angel,0.1026,MISS,mid_priced_won,,,NO_DATA,,,,NO_DATA,,Crafty Spirit,7.5,Crafty Spirit|So Grateful|Golden Prosperity
2026-07-14,923067,Beverley,4.58,The Sweet Escape,WIN,VISION_ONLY,,,Shahik,0.1417,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,The Sweet Escape,1.91,The Sweet Escape|Thornaby Annie|Enjoy The Night
2026-07-14,924645,Downpatrick,2.07,Cool Native,PLACE,WIN_ONLY,,,Ritz Plan,0.1091,MISS,short_fav_won,,,NO_DATA,,,,NO_DATA,,Fastnet Crystal,2.62,Fastnet Crystal|Mercurial Sea|Cool Native
2026-07-14,924646,Downpatrick,2.37,Luker's Tipple,WIN,EW_CANDIDATE,EW_WIN,,Luker's Tipple,0.1234,WIN,,,,NO_DATA,,,,NO_DATA,,Luker's Tipple,1.83,Luker's Tipple|Fortis Et Liber|Liceo
2026-07-14,924647,Downpatrick,3.07,Stormy Jenn,MISS,PASS,,outsider_won,Sea Of Doubt,0.0992,PLACE,,,,NO_DATA,,,,NO_DATA,,Small Bucks,12.0,Small Bucks|Sea Of Doubt|Gortmore Lady
2026-07-14,924648,Downpatrick,3.37,San Hilario,MISS,WIN_ONLY,,outsider_won,San Hilario,0.1124,MISS,outsider_won,,,NO_DATA,,,,NO_DATA,,Marcelrock,17.0,Marcelrock|Magical Sal|O'Callaghan Can
2026-07-14,924649,Downpatrick,4.12,Playtime,PLACE,PASS,,,Playtime,0.2358,PLACE,,,,NO_DATA,,,,NO_DATA,,Gangster Granny,6.5,Gangster Granny|Lemmy Caution|Playtime
2026-07-14,924650,Downpatrick,4.47,Tolka Row,WIN,EW_CANDIDATE,EW_WIN,,Nakassama,0.0856,PLACE,,,,NO_DATA,,,,NO_DATA,,Tolka Row,34.0,Tolka Row|Nakassama|Joya Del Mar
2026-07-14,924651,Downpatrick,5.19,Rememberwhat,MISS,VISION_ONLY,,mid_priced_won,Payslip,0.1007,PLACE,,,,NO_DATA,,,,NO_DATA,,Its Time For A Run,4.0,Its Time For A Run|Payslip|Loves A Laugh
2026-07-14,923072,Ffos Las,2.30,Jaan Ki Tukri,WIN,WIN_ONLY,,,Jaan Ki Tukri,0.1775,WIN,,,,NO_DATA,,,,NO_DATA,,Jaan Ki Tukri,1.57,Jaan Ki Tukri|Louis The Fifth|Sole Ambition
2026-07-14,923076,Ffos Las,3.00,Tallahassee Lassie,WIN,VISION_ONLY,,,Our Fella,0.217,PLACE,,,,NO_DATA,,,,NO_DATA,,Tallahassee Lassie,2.0,Tallahassee Lassie|Our Fella|Devon Angel
2026-07-14,923071,Ffos Las,3.30,Star Velocity,WIN,PASS,,,Nevasca Cinza,0.158,PLACE,,,,NO_DATA,,,,NO_DATA,,Star Velocity,1.8,Star Velocity|Queen Sana|Nevasca Cinza
