race_id,course,course_id,date,off_time,race_name,distance,distance_f,going,surface,type,race_class,rating_band,field_size,region,runner_count_in_source
923082,Leicester,30,2026-07-14,13:54,Best Ticket Deals Online leicester-racecourse.co.uk Nursery Handicap,7f,7,Good To Firm,Turf,Flat,6,0-65,10,GB,10
924645,Downpatrick,179,2026-07-14,14:07,ITBA Mares Maiden Hurdle,18f,18,Good,Turf,Hurdle,,,12,IRE,11
923066,Beverley,6,2026-07-14,14:17,EBF Fillies' Novice Stakes (GBB/IRE Incentive Race),5f,5,Good To Firm,Turf,Flat,4,,4,GB,4
923077,Leicester,30,2026-07-14,14:24,British EBF Novice Stakes (GBB/GBBPlus Race),10f,10,Good To Firm,Turf,Flat,3,,6,GB,6
923072,Ffos Las,1212,2026-07-14,14:30,Dandara Homes EBF Maiden Stakes (GBB Race),6f,6,Good,Turf,Flat,4,,5,GB,5
924646,Downpatrick,179,2026-07-14,14:37,Randox (C & G) Maiden Hurdle,18f,18,Good,Turf,Hurdle,,,9,IRE,9
923070,Beverley,6,2026-07-14,14:47,Young Guns Handicap,5f,5,Good To Firm,Turf,Flat,6,0-60,8,GB,8
923079,Leicester,30,2026-07-14,14:54,Nelson Restaurant For Classic Raceday Dining Handicap,12f,12,Good To Firm,Turf,Flat,6,0-65,6,GB,6
923076,Ffos Las,1212,2026-07-14,15:00,Golwg Gwendraeth Nursery Handicap,5f,5,Good,Turf,Flat,6,0-65,5,GB,5
924647,Downpatrick,179,2026-07-14,15:07,Join Racing TV Now With A Free Trial Handicap Hurdle,18f,18,Good,Turf,Hurdle,,0-100,15,IRE,15
923065,Beverley,6,2026-07-14,15:17,Malcolm Greenslade Doncaster LVA Stalwart Memorial Handicap,10f,10,Good To Firm,Turf,Flat,4,0-80,4,GB,4
923081,Leicester,30,2026-07-14,15:24,Join Racing TV Today Handicap,5f,5,Good To Firm,Turf,Flat,6,0-60,6,GB,6
923071,Ffos Las,1212,2026-07-14,15:30,Diplomat Hotel Maiden Stakes (GBB Race),5f,5,Good,Turf,Flat,4,,7,GB,7
924648,Downpatrick,179,2026-07-14,15:37,Plus 2 Print Remembering Tony Oakes MBE Maiden Hurdle,22f,22,Good,Turf,Hurdle,,,12,IRE,12
923069,Beverley,6,2026-07-14,15:48,Beverley Annual Badgeholders Handicap,10f,10,Good To Firm,Turf,Flat,6,0-65,9,GB,9
923080,Leicester,30,2026-07-14,15:57,Evening Racing @leicesterraces Wednesday 22nd July Handicap,7f,7,Good To Firm,Turf,Flat,6,0-55,6,GB,6
923073,Ffos Las,1212,2026-07-14,16:05,Preventapest Handicap,7.5f,7.5,Good,Turf,Flat,5,0-70,9,GB,9
924649,Downpatrick,179,2026-07-14,16:12,Go fibrefast With Fibrus Broadband Rated Novice Hurdle,22f,22,Good,Turf,Hurdle,,,6,IRE,6
923068,Beverley,6,2026-07-14,16:23,Connexin Gigabit Gallop Handicap,5f,5,Good To Firm,Turf,Flat,6,0-55,11,GB,10
923078,Leicester,30,2026-07-14,16:30,Leicester Racecourse Ideal Conference Venue Fillies' Handicap,10f,10,Good To Firm,Turf,Flat,5,0-70,5,GB,4
923075,Ffos Las,1212,2026-07-14,16:40,"Dandara, Beautiful New Homes In Carway ""Confined"" Handicap (Not Won A Flat Race In 2026)",10f,10,Good,Turf,Flat,6,0-55,9,GB,9
924650,Downpatrick,179,2026-07-14,16:47,"Tote Guarantee, Never Beaten By SP Handicap Hurdle",22f,22,Good,Turf,Hurdle,,,15,IRE,13
923387,Wolverhampton (AW),513,2026-07-14,16:53,Sky Sports Racing Sky 415 Fillies' Handicap,12f,12,Standard,Tapeta,Flat,5,0-75,9,GB,9
923067,Beverley,6,2026-07-14,16:58,Racing Again On Monday Evening Handicap,7.5f,7.5,Good To Firm,Turf,Flat,5,0-70,8,GB,8
923083,Leicester,30,2026-07-14,17:04,Private Boxes For Best View @leicesterraces Classified Stakes,6f,6,Good To Firm,Turf,Flat,6,0-50,11,GB,11
924638,Killarney,185,2026-07-14,17:09,Irish Stallion Farms EBF Fillies Maiden,8f,8,Good,Turf,Flat,,,7,IRE,5
923074,Ffos Las,1212,2026-07-14,17:14,"Dandara, Find Your Perfect New Home Handicap",12f,12,Good,Turf,Flat,5,0-70,5,GB,4
924651,Downpatrick,179,2026-07-14,17:19,Downpatrick Racecourse Family Funday Supporters INH Flat Race,19f,19,Good,Turf,NH Flat,,,10,IRE,10
923386,Wolverhampton (AW),513,2026-07-14,17:25,Free Tips On attheraces.com Restricted Maiden Stakes (Bands C And D) (GBB Race),6f,6,Standard,Tapeta,Flat,5,,13,GB,11
924639,Killarney,185,2026-07-14,17:40,Hotel Killarney Maiden,8f,8,Good,Turf,Flat,,,8,IRE,8
