type,label,n,wins,placed,misses,strike_rate,frame_rate,avg_vp,avg_winner_sp,avg_miss_sp,signal,sr,fr,rank
VP_BAND,VP<0.20,385,56.0,129.0,256.0,14.5,33.5,0.158,5.12,9.28,,,,
VP_BAND,VP 0.20-0.30,460,83.0,220.0,240.0,18.0,47.8,0.243,3.86,7.82,,,,
VP_BAND,VP 0.30-0.40,245,67.0,154.0,91.0,27.3,62.9,0.341,3.12,5.78,,,,
VP_BAND,VP>=0.40,100,44.0,85.0,15.0,44.0,85.0,0.487,1.76,9.57,,,,
VP_BAND,VP>=0.30 combined,345,111.0,239.0,106.0,32.2,69.3,0.383,2.59,6.32,,,,
VP_BAND,VP>=0.30 + Tier A,162,65.0,125.0,37.0,40.1,77.2,0.425,2.26,7.12,,,,
TIER,Tier A,162,65.0,125.0,37.0,40.1,77.2,0.425,2.26,7.12,,,,
TIER,Tier B,402,85.0,201.0,201.0,21.1,50.0,0.277,4.14,7.85,,,,
TIER,Tier C,455,72.0,192.0,263.0,15.8,42.2,0.212,4.07,8.21,,,,
TIER,Tier D,112,15.0,38.0,74.0,13.4,33.9,0.164,4.08,10.28,,,,
TIER,Tier X,142,18.0,49.0,93.0,12.7,34.5,0.145,8.38,9.57,,,,
SIGNAL_RANK,,345,,,,,,,,,VP>=0.30,32.2,69.3,PROMISING_SIGNAL
SIGNAL_RANK,,162,,,,,,,,,VP>=0.30 + Tier A,40.1,77.2,PROVEN_SIGNAL
SIGNAL_RANK,,162,,,,,,,,,Tier A (all VP),40.1,77.2,PROVEN_SIGNAL
SIGNAL_RANK,,402,,,,,,,,,Tier B (all VP),21.1,50.0,NOISY_SIGNAL
SIGNAL_RANK,,272,,,,,,,,,Tier B VP<0.30,16.9,44.1,SUPPRESS_SIGNAL
SIGNAL_RANK,,130,,,,,,,,,Tier B VP>=0.30,30.0,62.3,WATCHLIST_SIGNAL
SIGNAL_RANK,,27,,,,,,,,,V1_BASE,37.04,85.19,WATCHLIST_SIGNAL
SIGNAL_RANK,,17,,,,,,,,,V2_CLASS4_ONLY,41.18,82.35,WATCHLIST_SIGNAL
SIGNAL_RANK,,5,,,,,,,,,V6_GOLD_SEAM,60.0,100.0,INSUFFICIENT_SAMPLE
SIGNAL_RANK,,54,,,,,,,,,Sidecar:RPDC release score>0.5,24.1,48.1,WATCHLIST_SIGNAL
SIGNAL_RANK,,392,,,,,,,,,Sidecar:Place prob>0.80,31.6,66.8,PROMISING_SIGNAL
SIGNAL_RANK,,31,,,,,,,,,Sidecar:Market deception score>0.5,54.8,96.8,PROMISING_SIGNAL
SIGNAL_RANK,,62,,,,,,,,,Sidecar:Improvement score>0.40,43.5,82.3,PROVEN_SIGNAL
SIGNAL_RANK,,270,,,,,,,,,Sidecar:Archetype=Structure,21.1,53.7,NOISY_SIGNAL
SIGNAL_RANK,,40,,,,,,,,,Sidecar:Archetype=Compression,20.0,47.5,NOISY_SIGNAL
