horse,date,or_rating,prior_max_or,or_vs_career_best,pp_aw_vs_turf_delta,pp_fresh_or_drop
A Bit Of Ginger (GB),2016-08-24,,,,,False
A Bit Of Ginger (GB),2016-09-13,,,,,False
A Bit Of Ginger (GB),2016-09-20,,,,,False
A Bit Of Ginger (GB),2016-10-04,58.0,,,,False
A Bit Of Ginger (GB),2017-04-07,55.0,58.0,-3.0,,True
A Bit Of Ginger (GB),2017-04-26,57.0,58.0,-1.0,,False
A Bit Of Ginger (GB),2017-05-04,57.0,58.0,-1.0,,False
A Bit Of Ginger (GB),2017-05-30,56.0,58.0,-2.0,,False
A Bit Of Ginger (GB),2017-06-17,55.0,58.0,-3.0,,False
A Bit Of Ginger (GB),2017-06-29,53.0,58.0,-5.0,,False
A Bit Of Ginger (GB),2017-07-12,51.0,58.0,-7.0,0.0,False
A Bit Of Ginger (GB),2017-07-19,51.0,58.0,-7.0,0.0,False
A Boy Named Sue (GB),2015-07-13,,,,,False
A Boy Named Sue (GB),2015-08-04,,,,,False
A Boy Named Sue (GB),2015-08-17,,,,,False
A Boy Named Sue (GB),2016-05-31,46.0,,,,False
A Boy Named Sue (GB),2016-06-13,51.0,46.0,5.0,,False
A Boy Named Sue (GB),2016-07-06,48.0,51.0,-3.0,,False
A Boy Named Sue (GB),2016-07-22,48.0,51.0,-3.0,,False
A Boy Named Sue (GB),2016-08-02,49.0,51.0,-2.0,,False
A Boy Named Sue (GB),2016-08-22,52.0,51.0,1.0,,False
A Boy Named Sue (GB),2017-01-25,49.0,52.0,-3.0,,True
A Boy Named Sue (GB),2017-02-04,48.0,52.0,-4.0,,False
A Boy Named Sue (GB),2017-02-10,48.0,52.0,-4.0,0.0,False
A Boy Named Sue (GB),2017-03-10,50.0,52.0,-2.0,0.0,False
A Boy Named Sue (GB),2017-03-22,49.0,52.0,-3.0,0.0,False
A Boy Named Sue (GB),2017-05-05,48.0,52.0,-4.0,0.0,False
A Daughtersdelight (IRE),2023-06-03,,,,,False
A Daughtersdelight (IRE),2023-07-06,,,,,False
A Daughtersdelight (IRE),2023-07-20,,,,,False
A Daughtersdelight (IRE),2023-08-22,,,,,False
A Daughtersdelight (IRE),2024-04-27,,,,,False
A Daughtersdelight (IRE),2024-05-13,,,,,False
A Daughtersdelight (IRE),2024-05-20,65.0,,,,False
A Daughtersdelight (IRE),2024-05-30,57.0,65.0,-8.0,,False
A Daughtersdelight (IRE),2024-09-27,54.0,65.0,-11.0,,True
A Daughtersdelight (IRE),2024-10-14,53.0,65.0,-12.0,,False
A Daughtersdelight (IRE),2024-10-18,50.0,65.0,-15.0,,False
A Daughtersdelight (IRE),2024-10-30,61.0,65.0,-4.0,,False
A Daughtersdelight (IRE),2024-11-15,61.0,65.0,-4.0,0.0,False
A Daughtersdelight (IRE),2024-11-22,58.0,65.0,-7.0,0.0,False
A Daughtersdelight (IRE),2024-11-29,57.0,65.0,-8.0,0.0,False
A Daughtersdelight (IRE),2024-12-06,56.0,65.0,-9.0,0.0,False
A Daughtersdelight (IRE),2024-12-11,57.0,65.0,-8.0,0.0,False
A Daughtersdelight (IRE),2024-12-20,57.0,65.0,-8.0,0.0,False
A Day To Dream (IRE),2022-05-16,,,,,False
A Day To Dream (IRE),2022-05-31,,,,,False
A Day To Dream (IRE),2022-06-10,,,,,False
A Day To Dream (IRE),2022-07-12,55.0,,,,False
A Day To Dream (IRE),2022-08-12,53.0,55.0,-2.0,,False
A Day To Dream (IRE),2023-04-04,49.0,55.0,-6.0,,True
A Day To Dream (IRE),2023-05-08,52.0,55.0,-3.0,,False
A Day To Dream (IRE),2023-05-22,52.0,55.0,-3.0,,False
A Day To Dream (IRE),2023-06-10,52.0,55.0,-3.0,,False
A Day To Dream (IRE),2023-07-05,52.0,55.0,-3.0,,False
A Day To Dream (IRE),2023-07-21,52.0,55.0,-3.0,,False
A Day To Dream (IRE),2023-08-12,51.0,55.0,-4.0,,False
A Day To Dream (IRE),2023-08-29,50.0,55.0,-5.0,,False
A Day To Dream (IRE),2023-10-04,49.0,55.0,-6.0,,False
A Day To Dream (IRE),2023-11-02,48.0,55.0,-7.0,,False
A Day To Dream (IRE),2024-03-16,47.0,55.0,-8.0,-0.08333333333333333,True
A Day To Dream (IRE),2024-04-30,46.0,55.0,-9.0,-0.08333333333333333,False
A Day To Dream (IRE),2024-05-10,,55.0,,-0.07692307692307693,False
A Day To Dream (IRE),2024-06-02,,,,-0.07142857142857142,False
