model,scope,scope_value,log_loss,brier,top1,top3,ece,market_rank_lift,n_races,n_runners
core_uncalibrated_baseline,split,train,1.5219050111943422,0.06036423496124645,0.6141509433962264,0.909433962264151,0.06396444811170658,1.5981132075471698,1060,11757
core_uncalibrated_baseline,split,validation,1.6740187301009082,0.06591003117978221,0.47609942638623326,0.8279158699808795,0.04596062288941429,1.3460803059273423,523,5804
core_uncalibrated_baseline,split,test,1.561108727544964,0.0795820044707107,0.543859649122807,0.868421052631579,0.06362647648050913,0.7543859649122807,114,1014
core_uncalibrated_baseline,jurisdiction,FR,1.5346338017288186,0.08700149629548874,0.5714285714285714,0.8809523809523809,0.06670610884715072,0.5952380952380952,84,683
core_uncalibrated_baseline,jurisdiction,HK,1.6145399396827245,0.0639120149590788,0.4827586206896552,0.8620689655172413,0.05942625331859661,1.3103448275862069,29,319
core_uncalibrated_baseline,jurisdiction,JPN,2.235497344106136,0.0738498159613068,0.0,0.0,0.009581082565269915,-2.0,1,12
core_uncalibrated_baseline,year,2023,1.4973243207418883,0.08167090697058499,0.6595744680851063,0.8936170212765957,0.06927247387861069,0.7872340425531915,47,397
core_uncalibrated_baseline,year,2024,1.6155060839617383,0.07985555477159041,0.5121951219512195,0.8780487804878049,0.06052185756651921,1.048780487804878,41,373
core_uncalibrated_baseline,year,2025,1.5906308624163803,0.07576508416465237,0.38461538461538464,0.8076923076923077,0.062056567991259,0.23076923076923078,26,244
core_isotonic_without_market,split,train,1.307295190493171,0.05424069923548311,0.5915094339622642,0.8933962264150943,0.04084991787521716,1.5150943396226415,1060,11757
core_isotonic_without_market,split,validation,1.4693459590003204,0.06061350610289827,0.4894837476099426,0.8489483747609943,0.026465331783429028,1.4760994263862333,523,5804
core_isotonic_without_market,split,test,1.4345182854454899,0.07333010257274018,0.5526315789473685,0.868421052631579,0.04202993749446802,0.9122807017543859,114,1014
core_isotonic_without_market,jurisdiction,FR,1.3409506872575694,0.07883015555423736,0.5714285714285714,0.8928571428571429,0.059920715482603935,0.7857142857142857,84,683
core_isotonic_without_market,jurisdiction,HK,1.6787063251282717,0.06152578733939412,0.4827586206896552,0.7931034482758621,0.024736638036754598,1.2413793103448276,29,319
core_isotonic_without_market,jurisdiction,JPN,2.212743382430129,0.07408346699564201,1.0,1.0,0.0025665014894102906,2.0,1,12
core_isotonic_without_market,year,2023,1.3596874768102238,0.07632852230713495,0.6170212765957447,0.851063829787234,0.05627596053511825,0.7872340425531915,47,397
core_isotonic_without_market,year,2024,1.3737181313390319,0.07046010166716674,0.5365853658536586,0.8780487804878049,0.058883776336562,1.2926829268292683,41,373
core_isotonic_without_market,year,2025,1.6656665286848082,0.0728388636515278,0.46153846153846156,0.8846153846153846,0.039968211463195874,0.5384615384615384,26,244
core_platt_without_market,split,train,1.9174707032904148,0.07047572877586301,0.6141509433962264,0.909433962264151,0.05602789169296269,1.5981132075471698,1060,11757
core_platt_without_market,split,validation,1.9967484136292988,0.07321211933343898,0.47609942638623326,0.8279158699808795,0.04267673784341467,1.3460803059273423,523,5804
core_platt_without_market,split,test,1.8507693432110253,0.08932580772167752,0.543859649122807,0.868421052631579,0.06247067555510347,0.7543859649122807,114,1014
core_platt_without_market,jurisdiction,FR,1.7878089230416554,0.09669626593101847,0.5714285714285714,0.8809523809523809,0.07557376401764124,0.5952380952380952,84,683
core_platt_without_market,jurisdiction,HK,2.015977206175588,0.07409484371235843,0.4827586206896552,0.8620689655172413,0.03676609463581808,1.3103448275862069,29,319
core_platt_without_market,jurisdiction,JPN,2.3484166114657716,0.07471368788775333,0.0,0.0,0.02549941396129511,-2.0,1,12
core_platt_without_market,year,2023,1.769326344936212,0.09142236370784405,0.6595744680851063,0.8936170212765957,0.058557937903442873,0.7872340425531915,47,397
core_platt_without_market,year,2024,1.9012493603137748,0.0892319618583741,0.5121951219512195,0.8780487804878049,0.06994510261403505,1.048780487804878,41,373
core_platt_without_market,year,2025,1.9183901208150047,0.08605806911718589,0.38461538461538464,0.8076923076923077,0.057410821271200924,0.23076923076923078,26,244
core_temperature_scaling_without_market,split,train,1.1276653316078766,0.0475099478149483,0.6141509433962264,0.909433962264151,0.02602333597724468,1.5981132075471698,1060,11757
core_temperature_scaling_without_market,split,validation,1.4454293393221807,0.06018451762151322,0.47609942638623326,0.8279158699808795,0.009876891706557535,1.3460803059273423,523,5804
core_temperature_scaling_without_market,split,test,1.2714213238929168,0.06763591024530992,0.543859649122807,0.868421052631579,0.034483677526519985,0.7543859649122807,114,1014
core_temperature_scaling_without_market,jurisdiction,FR,1.2217949340344372,0.07132125771059158,0.5714285714285714,0.8809523809523809,0.054795619580029646,0.5952380952380952,84,683
core_temperature_scaling_without_market,jurisdiction,HK,1.3845358845270022,0.05953221541503427,0.4827586206896552,0.8620689655172413,0.03922938726456337,1.3103448275862069,29,319
core_temperature_scaling_without_market,jurisdiction,JPN,2.1597158136167516,0.07330143791785503,0.0,0.0,0.0014486337784186875,-2.0,1,12
core_temperature_scaling_without_market,year,2023,1.2110045716884095,0.06878619407322192,0.6595744680851063,0.8936170212765957,0.04609918262649707,0.7872340425531915,47,397
core_temperature_scaling_without_market,year,2024,1.3001117318978945,0.0666290730229888,0.5121951219512195,0.8780487804878049,0.042111279378943066,1.048780487804878,41,373
core_temperature_scaling_without_market,year,2025,1.3353936556393697,0.06730348239385374,0.38461538461538464,0.8076923076923077,0.03870132115696836,0.23076923076923078,26,244
core_jurisdiction_aware_calibration_without_market,split,train,1.2989861556421807,0.05410475798822522,0.5924528301886792,0.8933962264150943,0.03644531726209786,1.5169811320754718,1060,11757
core_jurisdiction_aware_calibration_without_market,split,validation,1.4513262187467069,0.06038034476189291,0.49904397705544934,0.8451242829827916,0.02316319722489589,1.4875717017208414,523,5804
core_jurisdiction_aware_calibration_without_market,split,test,1.4290278760742272,0.07537301946152607,0.5263157894736842,0.868421052631579,0.047304713485893136,0.8771929824561403,114,1014
core_jurisdiction_aware_calibration_without_market,jurisdiction,FR,1.426747173860137,0.0822617337905753,0.5357142857142857,0.8809523809523809,0.06521234059202123,0.7142857142857143,84,683
