date,race_id,course,off_time,model_name,lane_name,source_path,source_field,sort_direction,rank,horse,horse_id,score,sp_dec,result_position,win,frame,policy_decision,stake_authorised,dashboard_visible,learning_class,tie_status,notes
2026-07-05,921918,Southwell (AW),5.55,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Sixpack,4642854,0.3921,9.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921918,Southwell (AW),5.55,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Sixpack,4642854,0.1762,9.0,4,False,False,N/A (no policy layer for this shadow field),False,True,TIE_UNRESOLVED,TIED_2_WAY,Top pick is not a principled read if tie_status != CLEAN.
2026-07-05,921920,Southwell (AW),5.25,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Victors Spirit,7988028,0.3435,10.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921920,Southwell (AW),5.25,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Northwest Passage,6587053,0.128,7.5,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,921916,Southwell (AW),4.50,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Spooky Wooky,7708597,0.4431,21.0,7,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921916,Southwell (AW),4.50,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,John Galt,8520787,0.1391,3.5,5,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,921919,Southwell (AW),4.15,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Blinky,5878998,0.3361,10.0,4,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921919,Southwell (AW),4.15,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Kylian,5021320,0.1291,4.0,6,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,921922,Southwell (AW),3.40,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Hamda's Joy,8031351,0.2877,4.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921922,Southwell (AW),3.40,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Hamda's Joy,8031351,0.0927,4.0,3,False,True,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,924344,Southwell (AW),3.05,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Reputation,881321,0.5491,15.0,9,False,False,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,924344,Southwell (AW),3.05,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Noble Guest,6166264,0.1055,4.33,7,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,921921,Southwell (AW),2.32,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Onemorenomore,5051945,0.5322,4.0,3,False,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_MISS,CLEAN,Main VELO's own top-ranked pick.
2026-07-05,921921,Southwell (AW),2.32,SQPE_NO_RPR_SHADOW,shadow,Supabase velo_verdicts.full_analysis.predictions[],sqpe_no_rpr_shadow_prob,descending,1,Surprised,6345381,0.1031,21.0,7,False,False,N/A (no policy layer for this shadow field),False,True,MODEL_MISS,CLEAN,
2026-07-05,921917,Southwell (AW),2.02,MAIN_VELO_PRIME,main,Supabase velo_verdicts.full_analysis.predictions[],velo_prime_prob,descending,1,Kalokalo,7762488,0.2293,4.0,1,True,True,N/A (no policy layer for Main VELO -- persists directly),False,True,MODEL_HIT,CLEAN,Main VELO's own top-ranked pick.
