race_id,horse,old_src,new_src
918928,Libertango,OLD,NEW
918943,Nour,OLD,NEW
918942,Cape Fear,OLD,NEW
918944,Fairydale,OLD,NEW
918941,Classic Encounter,OLD,NEW
918947,Long Shot,OLD,NEW
918946,Lady Bouquet,OLD,NEW
918945,Evoluir,OLD,NEW
918968,North Star Kodi,OLD,NEW
918967,Bearish,OLD,NEW
918971,Tricky Tel,OLD,NEW
918969,Gentle Warrior,OLD,NEW
918970,Binadham,OLD,NEW
918973,Saxophonist,OLD,NEW
918972,Sanafi Zabeel,OLD,NEW
921544,Grey Gardens,OLD,NEW
921542,Oh So Charming,OLD,NEW
921543,Time Is A Thief,OLD,NEW
921545,Casual Water,OLD,NEW
921546,Lemmy Caution,OLD,NEW
