date,course,off_time,tipster,tipster_raw,horse,is_nap,result,position,matched_horse,matched_race,result_source,selection_source
2026-05-06,Chester,1:30,SPOTLIGHT,SPOTLIGHT,Final Appeal,False,M,5,Final Appeal (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:05,SPOTLIGHT,SPOTLIGHT,Partisan Hero,False,M,7,Partisan Hero (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:35,SPOTLIGHT,SPOTLIGHT,I'm The One,False,P,2,I'm The One (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:05,SPOTLIGHT,SPOTLIGHT,Benvenuto Cellini,False,W,1,Benvenuto Cellini (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:40,SPOTLIGHT,SPOTLIGHT,Alaminos,False,M,7,Alaminos (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,4:10,SPOTLIGHT,SPOTLIGHT,Tornado Tower,False,W,1,Tornado Tower (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,4:45,SPOTLIGHT,SPOTLIGHT,Rare Change,False,M,9,Rare Change (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,1:30,RP RATINGS,RP RATINGS (Ainsley Scorah),Hickory Lad,False,P,2,Hickory Lad (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:05,RP RATINGS,RP RATINGS (Ainsley Scorah),Percy's Lad,False,M,13,Percy's Lad (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:35,RP RATINGS,RP RATINGS (Ainsley Scorah),Sugar Island,False,M,4,Sugar Island (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:05,RP RATINGS,RP RATINGS (Ainsley Scorah),Benvenuto Cellini,False,W,1,Benvenuto Cellini (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:40,RP RATINGS,RP RATINGS (Ainsley Scorah),Alaminos,False,M,7,Alaminos (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,4:45,RP RATINGS,RP RATINGS (Ainsley Scorah),Rare Change,True,M,9,Rare Change (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,1:30,TOPSPEED,TOPSPEED,Hickory Lad,False,P,2,Hickory Lad (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:05,TOPSPEED,TOPSPEED,The Angel King,False,M,6,The Angel King (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,2:35,TOPSPEED,TOPSPEED,Sugar Island,False,M,4,Sugar Island (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:05,TOPSPEED,TOPSPEED,Benvenuto Cellini,False,W,1,Benvenuto Cellini (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,3:40,TOPSPEED,TOPSPEED,Watcha Snoop,False,M,12,Watcha Snoop (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,4:10,TOPSPEED,TOPSPEED,Arabian Desert,False,M,5,Arabian Desert (GB),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,4:45,TOPSPEED,TOPSPEED,Rare Change,False,M,9,Rare Change (IRE),True,data\results_2026_05_06.json,industry_selections_file
2026-05-06,Chester,1:30,POSTDATA,POSTDATA,Adonius,False,W,1,Adonius (IRE),True,data\results_2026_05_06.json,industry_selections_file
