step,output_path,type,location
13,Supabase racing_horse_runs (449 rows/51 races),supabase_table,shared
14,data/sigma_memory/sigma_retrieval_corpus_v1.jsonl,local_file,dirty_repo (gitignored)
15,data/mission_control/2026-07-04_mission_control.json,local_file,dirty_repo (gitignored)
15,data/mission_control/latest.json,local_file,dirty_repo (gitignored)
16A,data/vp30_operator_card_2026-07-04.md,local_file,dirty_repo (gitignored)
16B,council run/packet/report artifacts (data/council/ or equivalent),local_file,dirty_repo (gitignored)
17,execution bridge paper ledger report,local_file,dirty_repo (gitignored)
18,data/velo_innovation_protocol_1k_deduped.csv,local_file,dirty_repo (gitignored)
19,data/router_shadow_audit_latest.csv,local_file,dirty_repo (gitignored)
19,data/router_shadow_audit_latest.md,local_file,dirty_repo (gitignored)
19,data/router_shadow_audit_20260704_214508.csv,local_file,dirty_repo (gitignored)
19,data/router_shadow_audit_ledger.csv,local_file,dirty_repo (gitignored)
20,data/nightly_eod_learning_events_2026_07_04.jsonl,local_file,dirty_repo (gitignored)
20,data/nightly_eod_learning_status_2026_07_04.json,local_file,dirty_repo (gitignored)
report,data/reports/july04_full_eod_learning_operator_brief.md,committed_report,clean_worktree (this mission)
report,data/reports/july04_step13_20_consistency_matrix.csv,committed_report,clean_worktree (this mission)
report,data/reports/july04_learning_connection_map.csv,committed_report,clean_worktree (this mission)
report,data/reports/july04_mission_control_summary.md,committed_report,clean_worktree (this mission)
report,data/reports/july04_council_learning_verdict.md,committed_report,clean_worktree (this mission)
report,data/reports/july04_shadow_learning_events_summary.csv,committed_report,clean_worktree (this mission)
report,data/reports/july04_eod_side_effect_diff.csv,committed_report,clean_worktree (this mission)
report,data/reports/july04_eod_outputs_inventory.csv,committed_report,clean_worktree (this mission)
