course,off_time,race_id,horse_id,horse_name,passport_matched,match_mode,pp_career_runs
Sandown,13:50,922263,4099106,Asfoora,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,13:50,922263,4272415,Rumstar,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,13:50,922263,5079227,Shagraan,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,13:50,922263,6260937,Getreadytorumble,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,13:50,922263,6429648,Luna A Inbhir Nis,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,13:50,922263,4642852,Partisan Hero,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,13:50,922263,7534594,Gold Digger,True,RP_HORSE_ID_DETERMINISTIC,0
Sandown,13:50,922263,5982387,Leovanni,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,13:50,922263,7471077,Palmeira,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9106002,Viking Barbie,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9485643,Palm Reader,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,8688529,Battle Fever,True,RP_HORSE_ID_DETERMINISTIC,0
Beverley,14:17,922251,9359949,Desert Move,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9222219,Autumn Jewel,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9409963,Inca Warrior,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9115898,Waiting For Archie,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:17,922251,9119997,Enemy Action,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,5412835,Indalo,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,5021341,Tribal Chief,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,14:25,922262,4001875,Classic,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,14:25,922262,5102065,Ebt's Guard,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,14:25,922262,7409480,Hard Endeavor,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,6465149,Sea Force,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,5733268,Ozat,True,RP_HORSE_ID_DETERMINISTIC,1
Sandown,14:25,922262,7365411,City Of Poets,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,4175305,Liberty Lane,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,14:25,922262,7547280,Bourbon Blues,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,14:25,922262,3841764,Mirsky,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,14:25,922262,5379844,Balmacara,True,RP_HORSE_ID_DETERMINISTIC,5
Sandown,14:25,922262,7267879,Excellent Believe,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,14:25,922262,3057707,Popmaster,True,RP_HORSE_ID_DETERMINISTIC,5
Naas,14:33,923878,9115744,Carry The Flag,True,RP_HORSE_ID_DETERMINISTIC,0
Naas,14:33,923878,9115742,Abletai,False,RP_HORSE_ID_DETERMINISTIC,
Naas,14:33,923878,9254401,Big Negotiator,True,RP_HORSE_ID_DETERMINISTIC,1
Naas,14:33,923878,9046185,Matriarchal,True,RP_HORSE_ID_DETERMINISTIC,3
Naas,14:33,923878,9004853,Brazilian Diva,False,RP_HORSE_ID_DETERMINISTIC,
Naas,14:33,923878,9184968,Hanney Boy,False,RP_HORSE_ID_DETERMINISTIC,
Naas,14:33,923878,9350206,Rejoinder,False,RP_HORSE_ID_DETERMINISTIC,
Naas,14:33,923878,9051030,Celestial Crown,False,RP_HORSE_ID_DETERMINISTIC,
Naas,14:33,923878,8881485,Belle Island,True,RP_HORSE_ID_DETERMINISTIC,0
Naas,14:33,923878,9004852,Arrowstock,False,RP_HORSE_ID_DETERMINISTIC,
Newmarket (July),14:40,922768,4770016,Tiffany,False,RP_HORSE_ID_DETERMINISTIC,
Newmarket (July),14:40,922768,6410532,Tattycoram,True,RP_HORSE_ID_DETERMINISTIC,5
Newmarket (July),14:40,922768,5166330,Lava Stream,False,RP_HORSE_ID_DETERMINISTIC,
Newmarket (July),14:40,922768,7866001,Caught U Sleeping,True,RP_HORSE_ID_DETERMINISTIC,5
Newmarket (July),14:40,922768,5831382,Miss Justice,True,RP_HORSE_ID_DETERMINISTIC,5
Newmarket (July),14:40,922768,6595659,Crepe Suzette,False,RP_HORSE_ID_DETERMINISTIC,
Newmarket (July),14:40,922768,8048325,Lady Roisia,True,RP_HORSE_ID_DETERMINISTIC,3
Newmarket (July),14:40,922768,7627175,Lady Dora Mae,True,RP_HORSE_ID_DETERMINISTIC,5
Newmarket (July),14:40,922768,7298739,Sharpen,True,RP_HORSE_ID_DETERMINISTIC,5
Leicester,14:46,922276,7952285,Anyasi,False,RP_HORSE_ID_DETERMINISTIC,
Leicester,14:46,922276,9249229,Two Commanders,True,RP_HORSE_ID_DETERMINISTIC,0
Leicester,14:46,922276,7784914,Bucklow Hill,True,RP_HORSE_ID_DETERMINISTIC,2
Leicester,14:46,922276,7436383,Material Girl,True,RP_HORSE_ID_DETERMINISTIC,0
Leicester,14:46,922276,9317904,Retro Rocket,True,RP_HORSE_ID_DETERMINISTIC,0
Leicester,14:46,922276,9387272,Baby G,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:52,922250,9254375,Rosberg,True,RP_HORSE_ID_DETERMINISTIC,0
Beverley,14:52,922250,8688820,High Hazard,True,RP_HORSE_ID_DETERMINISTIC,0
Beverley,14:52,922250,9485642,Happy Love,False,RP_HORSE_ID_DETERMINISTIC,
Beverley,14:52,922250,9340080,Astral Calling,True,RP_HORSE_ID_DETERMINISTIC,0
Beverley,14:52,922250,9409961,Under Arrest,True,RP_HORSE_ID_DETERMINISTIC,1
Beverley,14:52,922250,9317834,Asander,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,15:00,922264,8174790,Sacred Ground,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,15:00,922264,8048328,Act Of Kindness,True,RP_HORSE_ID_DETERMINISTIC,4
Sandown,15:00,922264,7992610,Secret Of Life,True,RP_HORSE_ID_DETERMINISTIC,2
Sandown,15:00,922264,8494420,Estissa,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,15:00,922264,8494422,Silenciosa,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,15:00,922264,7516448,Spinning Lizzie,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,15:00,922264,7762493,Tavana,False,RP_HORSE_ID_DETERMINISTIC,
Sandown,15:00,922264,7957281,Ourbren,True,RP_HORSE_ID_DETERMINISTIC,4
Naas,15:08,923879,5287721,Nouvel Espoir,False,RP_HORSE_ID_DETERMINISTIC,
Naas,15:08,923879,5176378,Bold Optimist,False,RP_HORSE_ID_DETERMINISTIC,
Naas,15:08,923879,3701271,Tawaazon,True,RP_HORSE_ID_DETERMINISTIC,60
