course,off_time,race_id,runner_count,horse_id_coverage,horse_name_coverage,trainer_coverage,jockey_coverage,draw_coverage,weight_coverage,or_coverage,rpr_coverage,ts_coverage,spotlight_comment_coverage,odds_sp_forecast_coverage,recent_form_coverage,going_coverage,race_type_coverage,class_coverage,distance_coverage,age_sex_coverage,source_file,status
Bellewstown,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present (F_0010,F_0011,F_0012,F_0015_OR,F_0016,F_0032_TS)",BLOCKED_NO_TODAY_CARD
Beverley,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Carlisle,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Leicester,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Naas,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Newmarket,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Nottingham,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"6/6 RP PDFs present",BLOCKED_NO_TODAY_CARD
Sandown,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,PENDING_INGEST,"5/6 RP PDFs present — MISSING F_0011 (Postdata)",PARTIAL
Ffos Las,,,,,,,,,,,,,,,,,,,,,"only course-stats HTML page present — no racecard PDF",MISSING_RP
Musselburgh,,,,,,,,,,,,,,,,,,,,,"only course-stats HTML page present — no racecard PDF",MISSING_RP
Salisbury,,,,,,,,,,,,,,,,,,,,,"only course-stats HTML page present — no racecard PDF",MISSING_RP
Stratford,,,,,,,,,,,,,,,,,,,,,"only course-stats HTML page present — no racecard PDF",MISSING_RP
Thirsk,,,,,,,,,,,,,,,,,,,,,"only course-stats HTML page present — no racecard PDF",MISSING_RP
