course,off_time,race_id,runner_name,matched_passport_name,match_tier,match_confidence,passport_available,reason,source_file
BEL,5.15,BEL_5.15,Beauvallon,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Evangelic,Evangelic,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Karlynn,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Mino Des Mottes,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.875 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Pebble Island,Pebble Island,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Puppet Master,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.833 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Tex Amare,Tex Amare,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.15,BEL_5.15,Yup Bro,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.615 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Allroadsleadtorome,Allroadsleadtorome,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Double Order,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.818 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,G N Jefferson,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.538 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Getaway Tobin,Getaway Tobin,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Highland Realm,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.815 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Hopeful Hero,Hopeful Hero,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Kasper Hauser,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Laxxio,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.615 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Loyal Touch,Loyal Touch,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Matcho D'Agrostis,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.552 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Million Dollar Man,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.606 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Paymelater,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.636 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Pepper Noir,Pepper Noir,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Press The Button,Press The Button,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Sunny Dude,Sunny Dude,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,The Flying Rambler,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Wackestone,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.700 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Whats New,Whats New,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Willows Word,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.870 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,5.48,BEL_5.48,Xj G N Jefferson,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.483 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Barbizon,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.632 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Becasse,Becasse,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Come On The Lads,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.645 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Fiver Friday,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Ifiwerearichman,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.583 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Lisnamult Lad,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.640 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Minella Post,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.750 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Paul'S Dream,Paul's Dream,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Playtime,Playtime,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Putapoundinthejar,Putapoundinthejar,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Spy,Spy,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.18,BEL_6.18,Stuntman Steve,Stuntman Steve,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Ardeen Joy,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Bold Reflection,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Chisel Hill,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.727 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Everyday Life,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.600 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Giorgia Rose,Giorgia Rose,EXACT_NAME_MATCH,1.0,True,case/whitespace-insensitive exact match,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Glendaars Crystal,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,How'S Ellie,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.625 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Idaho Expresso,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.714 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Jet To Glory,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.667 below 0.90 threshold,racecard_BEL_2026-07-04.json
BEL,6.48,BEL_6.48,Jo'S Secret,,NO_PASSPORT_FOUND,,False,best fuzzy score 0.762 below 0.90 threshold,racecard_BEL_2026-07-04.json
