course,off_time,runner_name,best_candidate_1,score_1,best_candidate_2,score_2,recommended_action,reason
BEL,5.15,Beauvallon,Avalo,0.6667,Beauty Alliance,0.64,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,5.15,Karlynn,Ballyfinn,0.625,Harley,0.6154,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
BEL,5.15,Mino Des Mottes,Mojito Des Mottes,0.875,Hidalgo Des Mottes,0.7879,NO_MATCH,best fuzzy score 0.875 below 0.90 threshold
BEL,5.15,Puppet Master,Poet Master,0.8333,Popmaster,0.7273,NO_MATCH,best fuzzy score 0.833 below 0.90 threshold
BEL,5.15,Yup Bro,Tupero,0.6154,Superb Boy,0.5882,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
BEL,5.48,Double Order,Double Red,0.8182,Double Rush,0.6957,NO_MATCH,best fuzzy score 0.818 below 0.90 threshold
BEL,5.48,G N Jefferson,Gwen Tennyson,0.5385,Geryon,0.5263,NO_MATCH,best fuzzy score 0.538 below 0.90 threshold
BEL,5.48,Highland Realm,Highland Bear,0.8148,Highland Harvey,0.7586,NO_MATCH,best fuzzy score 0.815 below 0.90 threshold
BEL,5.48,Kasper Hauser,Master Haku,0.6667,Master Harry,0.64,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,5.48,Laxxio,Lunario,0.6154,Bellasio,0.5714,NO_MATCH,best fuzzy score 0.615 below 0.90 threshold
BEL,5.48,Matcho D'Agrostis,March Of Time,0.5517,Echo Of Stars,0.5517,NO_MATCH,best fuzzy score 0.552 below 0.90 threshold
BEL,5.48,Million Dollar Man,Mission Command,0.6061,Champion Lawman,0.6061,NO_MATCH,best fuzzy score 0.606 below 0.90 threshold
BEL,5.48,Paymelater,Spell Master,0.6364,Way Maker,0.6316,NO_MATCH,best fuzzy score 0.636 below 0.90 threshold
BEL,5.48,The Flying Rambler,The Flying Poet,0.7273,The Flying Seagull,0.7222,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
BEL,5.48,Wackestone,Rocket One,0.7,Launceston,0.7,NO_MATCH,best fuzzy score 0.700 below 0.90 threshold
BEL,5.48,Willows Word,Willow Wood,0.8696,Warriors Wood,0.64,NO_MATCH,best fuzzy score 0.870 below 0.90 threshold
BEL,5.48,Xj G N Jefferson,Gwen Tennyson,0.4828,My Gaffer,0.48,NO_MATCH,best fuzzy score 0.483 below 0.90 threshold
BEL,6.18,Barbizon,Barleybrown,0.6316,Marazion,0.625,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
BEL,6.18,Come On The Lads,Out In The Cold,0.6452,Over The Clouds,0.6452,NO_MATCH,best fuzzy score 0.645 below 0.90 threshold
BEL,6.18,Fiver Friday,Five Ways,0.6667,River Ara,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,6.18,Ifiwerearichman,Speechman,0.5833,Hierarchy,0.5833,NO_MATCH,best fuzzy score 0.583 below 0.90 threshold
BEL,6.18,Lisnamult Lad,Lisleigh Lad,0.64,Lisnadill,0.6364,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
BEL,6.18,Minella Post,Minella Buoy,0.75,Minella Rockett,0.7407,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
BEL,6.48,Ardeen Joy,Rusheen Boy,0.6667,Farren Glory,0.6364,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,6.48,Bold Reflection,Brave Byreflection,0.7273,Golden Redemption,0.6875,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
BEL,6.48,Chisel Hill,Cherry Hill,0.7273,Circus Hill,0.7273,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
BEL,6.48,Everyday Life,Veydari,0.6,Guerdale,0.5714,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
BEL,6.48,Glendaars Crystal,Kyber Crystal,0.6667,Deise Crystal,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,6.48,How'S Ellie,Hoseki,0.625,Thomas Tallis,0.6087,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
BEL,6.48,Idaho Expresso,Parish Express,0.7143,Sarah's Express,0.7143,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
BEL,6.48,Jet To Glory,Kimeko Glory,0.6667,Beauty Glory,0.6667,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,6.48,Jo'S Secret,Best Secret,0.7619,00love's Secret,0.75,NO_MATCH,best fuzzy score 0.762 below 0.90 threshold
BEL,6.48,Prophetess Miriam,Petes Diamond,0.6,Empress Olivia,0.5806,NO_MATCH,best fuzzy score 0.600 below 0.90 threshold
BEL,6.48,Red Acres Georgie,Tees George,0.7143,Graceful George,0.6875,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
BEL,6.48,Riverwoods,River Ore,0.6316,River Don,0.6316,NO_MATCH,best fuzzy score 0.632 below 0.90 threshold
BEL,6.48,Santa Paula,Santagada,0.7,Shanala,0.6667,NO_MATCH,best fuzzy score 0.700 below 0.90 threshold
BEL,6.48,She'S All Talk Sir,Shes All Pride,0.6452,Queen All Star,0.5806,NO_MATCH,best fuzzy score 0.645 below 0.90 threshold
BEL,6.48,Star Of Idaho,Star Of Tara,0.72,Star Of Markinch,0.6897,NO_MATCH,best fuzzy score 0.720 below 0.90 threshold
BEL,6.48,Uno Me I Like My T,Love Like This,0.5625,No Time Faults,0.5,NO_MATCH,best fuzzy score 0.562 below 0.90 threshold
BEL,6.48,Western Shores,Western George,0.7857,Western Opera,0.7407,NO_MATCH,best fuzzy score 0.786 below 0.90 threshold
BEL,7.18,Agent Tequila,Giant Sequoia,0.6923,Green Team,0.6087,NO_MATCH,best fuzzy score 0.692 below 0.90 threshold
BEL,7.18,Ballinagaine Girl,Ballerina Dancer,0.6667,Hanney Girl,0.6429,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,7.18,Codger'S Rock,Derby Rock,0.7273,Caesar Rock,0.6957,NO_MATCH,best fuzzy score 0.727 below 0.90 threshold
BEL,7.18,Granlahan,Raslan,0.6667,Granny Hawkins,0.6087,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,7.18,Hitthehayson,Theheatison,0.6957,Tyson,0.5882,NO_MATCH,best fuzzy score 0.696 below 0.90 threshold
BEL,7.18,Lost Features,Star Figure,0.5833,Mount Ferns,0.5833,NO_MATCH,best fuzzy score 0.583 below 0.90 threshold
BEL,7.18,My Policy,Fiscal Policy,0.6364,My O My,0.625,NO_MATCH,best fuzzy score 0.636 below 0.90 threshold
BEL,7.18,Pourquoi Poi,Ouro Preto,0.6364,Private Policy,0.5385,NO_MATCH,best fuzzy score 0.636 below 0.90 threshold
BEL,7.18,Whiskey Serenade,Whiskey Bent,0.7143,Whiskey Sunrise,0.6452,NO_MATCH,best fuzzy score 0.714 below 0.90 threshold
BEL,7.48,Accustomed,Crocus Time,0.6667,Amused,0.625,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,7.48,Broken Ice,Rokuni,0.625,Golden Circet,0.6087,NO_MATCH,best fuzzy score 0.625 below 0.90 threshold
BEL,7.48,Burning Ability,Burning Impact,0.6897,Leading Agility,0.6667,NO_MATCH,best fuzzy score 0.690 below 0.90 threshold
BEL,7.48,Justatan,Just Adair,0.6667,Tatianna,0.625,NO_MATCH,best fuzzy score 0.667 below 0.90 threshold
BEL,7.48,Le Kap,Lever Up,0.5714,Level Up,0.5714,NO_MATCH,best fuzzy score 0.571 below 0.90 threshold
BEL,7.48,Mavetherave,Comanche Brave,0.64,Yermanthere,0.6364,NO_MATCH,best fuzzy score 0.640 below 0.90 threshold
BEL,7.48,Midnight Moonshine,Miss Moonshine,0.75,Mr Moonshine,0.7333,NO_MATCH,best fuzzy score 0.750 below 0.90 threshold
BEL,7.48,Ottoman Style,Ottoman,0.7,Stuntman Steve,0.6667,NO_MATCH,best fuzzy score 0.700 below 0.90 threshold
BEL,7.48,Outside The Door,Out In The Cold,0.6452,Under The Radar,0.6452,NO_MATCH,best fuzzy score 0.645 below 0.90 threshold
