filename,course,course_code,file_type_code,file_type_name,extension,size_bytes,notes
BEL_20260704_00_00_F_0010_XX_Bellewstown.pdf,Bellewstown,BEL,F_0010_XX,Industry Selections / Tipster Picks,pdf,5858,
BEL_20260704_00_00_F_0011_XX_Bellewstown.pdf,Bellewstown,BEL,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,17808,
BEL_20260704_00_00_F_0012_XX_Bellewstown.pdf,Bellewstown,BEL,F_0012_XX,Colourcard (race structure + basic runner data),pdf,211211,
BEL_20260704_00_00_F_0015_OR_Bellewstown.pdf,Bellewstown,BEL,F_0015_OR,Official Ratings (OR),pdf,40849,
BEL_20260704_00_00_F_0016_XX_Bellewstown.pdf,Bellewstown,BEL,F_0016_XX,Spotlight (expert comments),pdf,211124,
BEL_20260704_00_00_F_0032_TS_Bellewstown.pdf,Bellewstown,BEL,F_0032_TS,Top Speed (TS),pdf,37963,
BEV_20260704_00_00_F_0010_XX_Beverley.pdf,Beverley,BEV,F_0010_XX,Industry Selections / Tipster Picks,pdf,6443,
BEV_20260704_00_00_F_0011_XX_Beverley.pdf,Beverley,BEV,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,11380,
BEV_20260704_00_00_F_0012_XX_Beverley.pdf,Beverley,BEV,F_0012_XX,Colourcard (race structure + basic runner data),pdf,104299,
BEV_20260704_00_00_F_0015_OR_Beverley.pdf,Beverley,BEV,F_0015_OR,Official Ratings (OR),pdf,21241,
BEV_20260704_00_00_F_0016_XX_Beverley.pdf,Beverley,BEV,F_0016_XX,Spotlight (expert comments),pdf,103009,
BEV_20260704_00_00_F_0032_TS_Beverley.pdf,Beverley,BEV,F_0032_TS,Top Speed (TS),pdf,19028,
CRL_20260704_00_00_F_0010_XX_Carlisle.pdf,Carlisle,CRL,F_0010_XX,Industry Selections / Tipster Picks,pdf,6408,
CRL_20260704_00_00_F_0011_XX_Carlisle.pdf,Carlisle,CRL,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,10251,
CRL_20260704_00_00_F_0012_XX_Carlisle.pdf,Carlisle,CRL,F_0012_XX,Colourcard (race structure + basic runner data),pdf,88700,
CRL_20260704_00_00_F_0015_OR_Carlisle.pdf,Carlisle,CRL,F_0015_OR,Official Ratings (OR),pdf,21668,
CRL_20260704_00_00_F_0016_XX_Carlisle.pdf,Carlisle,CRL,F_0016_XX,Spotlight (expert comments),pdf,87255,
CRL_20260704_00_00_F_0032_TS_Carlisle.pdf,Carlisle,CRL,F_0032_TS,Top Speed (TS),pdf,19002,
Ffos Las Racecourse _ Racecourse Statistics _ Racing Post.html,Ffos Las,,COURSE_STATS_PAGE,"Racecourse Statistics (supplementary, not a racecard)",html,161897,no racecard PDF found for this course as of this capture
LEI_20260704_00_00_F_0010_XX_Leicester.pdf,Leicester,LEI,F_0010_XX,Industry Selections / Tipster Picks,pdf,6579,
LEI_20260704_00_00_F_0011_XX_Leicester.pdf,Leicester,LEI,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,12221,
LEI_20260704_00_00_F_0012_XX_Leicester.pdf,Leicester,LEI,F_0012_XX,Colourcard (race structure + basic runner data),pdf,123792,
LEI_20260704_00_00_F_0015_OR_Leicester.pdf,Leicester,LEI,F_0015_OR,Official Ratings (OR),pdf,25349,
LEI_20260704_00_00_F_0016_XX_Leicester.pdf,Leicester,LEI,F_0016_XX,Spotlight (expert comments),pdf,121531,
LEI_20260704_00_00_F_0032_TS_Leicester.pdf,Leicester,LEI,F_0032_TS,Top Speed (TS),pdf,22597,
Musselburgh Racecourse _ Racecourse Statistics _ Racing Post.html,Musselburgh,,COURSE_STATS_PAGE,"Racecourse Statistics (supplementary, not a racecard)",html,165599,no racecard PDF found for this course as of this capture
NAA_20260704_00_00_F_0010_XX_Naas.pdf,Naas,NAA,F_0010_XX,Industry Selections / Tipster Picks,pdf,5850,
NAA_20260704_00_00_F_0011_XX_Naas.pdf,Naas,NAA,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,15349,
NAA_20260704_00_00_F_0012_XX_Naas.pdf,Naas,NAA,F_0012_XX,Colourcard (race structure + basic runner data),pdf,152157,
NAA_20260704_00_00_F_0015_OR_Naas.pdf,Naas,NAA,F_0015_OR,Official Ratings (OR),pdf,28685,
NAA_20260704_00_00_F_0016_XX_Naas.pdf,Naas,NAA,F_0016_XX,Spotlight (expert comments),pdf,152641,
NAA_20260704_00_00_F_0032_TS_Naas.pdf,Naas,NAA,F_0032_TS,Top Speed (TS),pdf,25812,
NMK_20260704_00_00_F_0010_XX_Newmarket.pdf,Newmarket,NMK,F_0010_XX,Industry Selections / Tipster Picks,pdf,6702,
NMK_20260704_00_00_F_0011_XX_Newmarket.pdf,Newmarket,NMK,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,12532,
NMK_20260704_00_00_F_0012_XX_Newmarket.pdf,Newmarket,NMK,F_0012_XX,Colourcard (race structure + basic runner data),pdf,118718,
NMK_20260704_00_00_F_0015_OR_Newmarket.pdf,Newmarket,NMK,F_0015_OR,Official Ratings (OR),pdf,28216,
NMK_20260704_00_00_F_0016_XX_Newmarket.pdf,Newmarket,NMK,F_0016_XX,Spotlight (expert comments),pdf,118636,
NMK_20260704_00_00_F_0032_TS_Newmarket.pdf,Newmarket,NMK,F_0032_TS,Top Speed (TS),pdf,23938,
NOT_20260704_00_00_F_0010_XX_Nottingham.pdf,Nottingham,NOT,F_0010_XX,Industry Selections / Tipster Picks,pdf,6391,
NOT_20260704_00_00_F_0011_XX_Nottingham.pdf,Nottingham,NOT,F_0011_XX,Postdata (trainer/going/course/draw flags),pdf,11087,
NOT_20260704_00_00_F_0012_XX_Nottingham.pdf,Nottingham,NOT,F_0012_XX,Colourcard (race structure + basic runner data),pdf,104282,
NOT_20260704_00_00_F_0015_OR_Nottingham.pdf,Nottingham,NOT,F_0015_OR,Official Ratings (OR),pdf,21107,
NOT_20260704_00_00_F_0016_XX_Nottingham.pdf,Nottingham,NOT,F_0016_XX,Spotlight (expert comments),pdf,102763,
NOT_20260704_00_00_F_0032_TS_Nottingham.pdf,Nottingham,NOT,F_0032_TS,Top Speed (TS),pdf,18532,
SAN_20260704_00_00_F_0010_XX_Sandown.pdf,Sandown,SAN,F_0010_XX,Industry Selections / Tipster Picks,pdf,6751,
SAN_20260704_00_00_F_0012_XX_Sandown.pdf,Sandown,SAN,F_0012_XX,Colourcard (race structure + basic runner data),pdf,123689,
SAN_20260704_00_00_F_0015_OR_Sandown.pdf,Sandown,SAN,F_0015_OR,Official Ratings (OR),pdf,29187,
SAN_20260704_00_00_F_0016_XX_Sandown (1).pdf,Sandown,SAN,F_0016_XX,Spotlight (expert comments),pdf,123890,duplicate copy of same file type
SAN_20260704_00_00_F_0016_XX_Sandown.pdf,Sandown,SAN,F_0016_XX,Spotlight (expert comments),pdf,123890,
SAN_20260704_00_00_F_0032_TS_Sandown.pdf,Sandown,SAN,F_0032_TS,Top Speed (TS),pdf,25365,
Salisbury Racecourse _ Racecourse Statistics _ Racing Post.html,Salisbury,,COURSE_STATS_PAGE,"Racecourse Statistics (supplementary, not a racecard)",html,157970,no racecard PDF found for this course as of this capture
Stratford Racecourse _ Racecourse Statistics _ Racing Post.html,Stratford,,COURSE_STATS_PAGE,"Racecourse Statistics (supplementary, not a racecard)",html,157787,no racecard PDF found for this course as of this capture
Thirsk Racecourse _ Racecourse Statistics _ Racing Post.html,Thirsk,,COURSE_STATS_PAGE,"Racecourse Statistics (supplementary, not a racecard)",html,157809,no racecard PDF found for this course as of this capture
