race_id,pick_sp_extracted,field_size_extracted,race_type_extracted,rpdc_primary_tag_visible_to_helper_dict,sigma_row_has_pick_sp,sigma_row_has_field_size,sigma_row_has_race_type,verdict_id_included
922286,4.0,8,flat,CYCLE_RUN_1,True,True,True,False
922272,4.5,9,flat,CYCLE_RUN_2,True,True,True,False
922287,1.1,6,flat,CYCLE_RUN_1,True,True,True,False
923872,4.5,16,flat,PLACE_FORM,True,True,True,False
922269,1.1,6,flat,CYCLE_RUN_2,True,True,True,False
922283,5.0,6,flat,CYCLE_RUN_1,True,True,True,False
923871,5.0,15,hurdle,STABLE_WARM,True,True,True,False
922270,1.25,5,flat,CYCLE_RUN_1,True,True,True,False
922285,1.5,6,flat,CYCLE_RUN_1,True,True,True,False
923870,2.5,15,hurdle,PLACE_FORM,True,True,True,False
922268,2.25,7,flat,CYCLE_RUN_1,True,True,True,False
922284,2.25,7,flat,CYCLE_RUN_1,True,True,True,False
923869,3.5,14,hurdle,PLACE_FORM,True,True,True,False
922273,1.1,9,flat,CYCLE_RUN_1,True,True,True,False
922281,1.88,9,flat,STABLE_WARM,True,True,True,False
923868,10.0,16,hurdle,PLACE_FORM,True,True,True,False
922271,4.0,9,flat,CYCLE_RUN_1,True,True,True,False
922282,1.62,5,flat,PLACE_FORM,True,True,True,False
923867,2.5,16,hurdle,PLACE_FORM,True,True,True,False
922253,2.0,6,flat,CYCLE_RUN_2,True,True,True,False
922280,2.75,5,flat,CYCLE_RUN_1,True,True,True,False
923883,2.25,6,flat,CYCLE_RUN_2,True,True,True,False
922265,1.88,9,flat,CYCLE_RUN_1,True,True,True,False
923866,3.0,7,hurdle,PLACE_FORM,True,True,True,False
922252,2.25,8,flat,CYCLE_RUN_2,True,True,True,False
922279,2.0,9,flat,CYCLE_RUN_2,True,True,True,False
922772,1.1,6,flat,PLACE_FORM,True,True,True,False
923882,2.25,16,flat,CYCLE_RUN_2,True,True,True,False
922267,3.5,8,flat,CYCLE_RUN_1,True,True,True,False
922249,5.5,9,flat,PLACE_FORM,True,True,True,False
922275,2.0,7,flat,CYCLE_RUN_1,True,True,True,False
922771,2.5,10,flat,PLACE_FORM,True,True,True,False
923881,1.38,8,flat,CYCLE_RUN_1,True,True,True,False
922266,1.38,6,flat,STABLE_WARM,True,True,True,False
922248,1.63,5,flat,STABLE_WARM,True,True,True,False
922277,14.0,11,flat,CYCLE_RUN_1,True,True,True,False
922770,7.5,10,flat,CYCLE_RUN_2,True,True,True,False
923880,1.75,7,flat,STABLE_WARM,True,True,True,False
917815,1.2,7,flat,STABLE_WARM,True,True,True,False
922254,1.25,5,flat,STABLE_WARM,True,True,True,False
922278,1.5,10,flat,CYCLE_RUN_1,True,True,True,False
922769,1.5,12,flat,STABLE_WARM,True,True,True,False
923879,10.0,12,flat,PLACE_FORM,True,True,True,False
922264,6.0,8,flat,CYCLE_RUN_1,True,True,True,False
922250,1.75,6,flat,PLACE_FORM,True,True,True,False
922276,1.88,6,flat,CYCLE_RUN_1,True,True,True,False
922768,1.1,9,flat,PLACE_FORM,True,True,True,False
923878,1.63,10,flat,CYCLE_RUN_1,True,True,True,False
922262,4.0,14,flat,PLACE_FORM,True,True,True,False
922251,1.75,8,flat,CYCLE_RUN_1,True,True,True,False
922263,50.0,9,flat,CYCLE_RUN_1,True,True,True,False
