metric,value
learning_mode,OUTCOME_ONLY_EOD_REPLAY
prediction_count,51
result_count,51
matched_races,51
events_created,51
engine_updates_applied_first_run,1
engine_updates_applied_duplicate_run,0
duplicates_skipped_second_run,51
wins,15
losses,36
void_or_unknown,0
loss_type_WRONG_HORSE,17
loss_type_CALIBRATION_ERROR,19
loss_type_NONE,15
data_error_count,0
data_error_rate,0.0
live_sentient_state_touched,false
shadow_state_touched,true
supabase_writes_attempted,false
supabase_backup_attempted,false
hfs_read_attempted,false
hfs_features_used,false
verdict,PASS
shadow_adapter_verdict_1,PASS_EVOLVED
shadow_adapter_verdict_2,PASS_IDEMPOTENT
