artifact,path,type,location
PR #126 merge,GitHub commit 1c1870d,github,origin/main
Old VELO three-option card,data/reports/old_velo_three_option_card_2026_07_05.json + .md,local_file,dirty_repo (gitignored)
Radical shadow,data/reports/radical_shadow_2026_07_05.json + .md,local_file,dirty_repo (gitignored)
Tri-lane stress test,data/reports/tri_lane_stress_test_2026_07_05_v2.json + .md,local_file,dirty_repo (gitignored)
Tri-lane agent review,data/reports/tri_lane_agent_review_2026_07_05_v2.json + .md,local_file,dirty_repo (gitignored)
Deep race agent,data/reports/deep_race_agent_v1_2026_07_05_v2.json + .md,local_file,dirty_repo (gitignored)
Course master,data/reports/course_master_2026_07_05.json + .md,local_file,dirty_repo (gitignored)
report,data/reports/july05_model_by_model_results_operator_brief.md,committed_report,clean_worktree (this mission)
report,data/reports/july05_model_by_model_results_matrix.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_model_artifact_inventory.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_sidecar_run_log.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_model_results_side_effect_diff.csv,committed_report,clean_worktree (this mission)
report,data/reports/july05_model_results_outputs_inventory.csv,committed_report,clean_worktree (this mission)
