model_label,races_covered,runners_scored,top_pick_races,winners,strike_rate,frames,frame_rate,best_winner_sp,best_winner_horse,avg_winner_sp,onept_win_pl,worst_miss_sp,worst_miss_horse,missing_artifact,source_path
MAIN_VELO_PRIME,36,405,36,6,0.1667,15,0.4167,5.5,Goodgollymissholly,2.72,-18.67,1.53,Vietnorm,False,data/runner_snapshots_2026_07_06_report_only.jsonl
SQPE_NO_RPR_SHADOW,36,405,36,5,0.1389,10,0.2778,7.5,Primo Lara,5.44,-4.8,2.5,Dani Donadoni,False,data/runner_snapshots_2026_07_06_report_only.jsonl
NEW_BUILD_LANE_A,36,108,36,7,0.1944,12,0.3333,7.0,Cocofred,3.81,-5.31,1.53,Vietnorm,False,data/new_build/reports/two_lane_readiness_2026_07_06.json
NEW_BUILD_LANE_B,36,108,36,9,0.25,16,0.4444,7.0,Tan Rapido,4.04,2.39,2.62,Heart Sign,False,data/new_build/reports/two_lane_readiness_2026_07_06.json
NEW_BUILD_LANE_C,36,108,36,2,0.0556,10,0.2778,2.88,Rocky's Howya,2.4,-29.21,1.91,Queen's Hame,False,data/new_build/reports/two_lane_readiness_2026_07_06.json
NEW_BUILD_POLICY_V1,0,0,0,0,,0,,,,,,,,True,data/new_build/reports/decision_policy_v1_2026_07_06.json
OLD_VELO_WIN,36,36,36,6,0.1667,15,0.4167,5.5,Goodgollymissholly,2.72,-18.67,1.53,Vietnorm,False,data/velo_prime_verdicts_2026_07_06.json
OLD_VELO_PLACE,36,36,36,6,0.1667,15,0.4167,5.5,Goodgollymissholly,2.72,-18.67,1.53,Vietnorm,False,data/velo_prime_verdicts_2026_07_06.json
OLD_VELO_LONGSHOT,36,36,36,6,0.1667,15,0.4167,5.5,Goodgollymissholly,2.72,-18.67,1.53,Vietnorm,False,data/velo_prime_verdicts_2026_07_06.json
CHAMPION_INTENT_SHADOW,36,405,36,8,0.2222,13,0.3611,5.5,Western Model,3.5,-3.96,1.53,Vietnorm,False,data/reports/july06_intent_shadow_scorecard.csv
