race_id,course,date,off_time,reason,candidates
rp_AYR_20260520_1.42,AYR,2026-05-20,1.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_2.12,AYR,2026-05-20,2.12,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_2.42,AYR,2026-05-20,2.42,NO_LOCAL_RESULT_FILE_MATCH,0
918945,Redcar,2026-05-26,17:23,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_3.12,AYR,2026-05-20,3.12,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_3.42,AYR,2026-05-20,3.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_4.12,AYR,2026-05-20,4.12,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_4.42,AYR,2026-05-20,4.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_AYR_20260520_5.15,AYR,2026-05-20,5.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_2.50,FFO,2026-05-20,2.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_3.20,FFO,2026-05-20,3.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_3.50,FFO,2026-05-20,3.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_4.20,FFO,2026-05-20,4.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_4.50,FFO,2026-05-20,4.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FFO_20260520_5.22,FFO,2026-05-20,5.22,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_5.10,GOW,2026-05-20,5.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_5.45,GOW,2026-05-20,5.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_6.20,GOW,2026-05-20,6.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_6.50,GOW,2026-05-20,6.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_7.20,GOW,2026-05-20,7.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_7.50,GOW,2026-05-20,7.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOW_20260520_8.20,GOW,2026-05-20,8.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_2.30,WAR,2026-05-20,2.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_3.00,WAR,2026-05-20,3.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_3.30,WAR,2026-05-20,3.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_4.00,WAR,2026-05-20,4.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_4.30,WAR,2026-05-20,4.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WAR_20260520_5.00,WAR,2026-05-20,5.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_5.35,YAR,2026-05-20,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_6.10,YAR,2026-05-20,6.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_6.40,YAR,2026-05-20,6.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_7.10,YAR,2026-05-20,7.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_7.40,YAR,2026-05-20,7.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_YAR_20260520_8.10,YAR,2026-05-20,8.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_2.10,CAT,2026-05-21,2.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_2.40,CAT,2026-05-21,2.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_3.10,CAT,2026-05-21,3.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_3.40,CAT,2026-05-21,3.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_4.15,CAT,2026-05-21,4.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_4.50,CAT,2026-05-21,4.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CAT_20260521_5.27,CAT,2026-05-21,5.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_5.30,CHP,2026-05-21,5.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_6.05,CHP,2026-05-21,6.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_6.40,CHP,2026-05-21,6.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_7.10,CHP,2026-05-21,7.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_7.40,CHP,2026-05-21,7.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_8.10,CHP,2026-05-21,8.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_CHP_20260521_8.40,CHP,2026-05-21,8.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_2.00,HAY,2026-05-21,2.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_2.30,HAY,2026-05-21,2.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_3.00,HAY,2026-05-21,3.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_3.30,HAY,2026-05-21,3.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_4.03,HAY,2026-05-21,4.03,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_4.38,HAY,2026-05-21,4.38,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260521_5.13,HAY,2026-05-21,5.13,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_4.43,LIM,2026-05-21,4.43,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_5.18,LIM,2026-05-21,5.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_5.48,LIM,2026-05-21,5.48,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_6.18,LIM,2026-05-21,6.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_6.48,LIM,2026-05-21,6.48,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_7.18,LIM,2026-05-21,7.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_7.48,LIM,2026-05-21,7.48,NO_LOCAL_RESULT_FILE_MATCH,0
rp_LIM_20260521_8.18,LIM,2026-05-21,8.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_2.20,MUS,2026-05-21,2.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_2.50,MUS,2026-05-21,2.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_3.20,MUS,2026-05-21,3.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_3.50,MUS,2026-05-21,3.50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_4.25,MUS,2026-05-21,4.25,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_5.00,MUS,2026-05-21,5.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_MUS_20260521_5.35,MUS,2026-05-21,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_5.57,STH,2026-05-21,5.57,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_5.23,STH,2026-05-21,5.23,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_6.30,STH,2026-05-21,6.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_7.00,STH,2026-05-21,7.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_7.30,STH,2026-05-21,7.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_8.00,STH,2026-05-21,8.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_8.30,STH,2026-05-21,8.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_STH_20260521_9.00,STH,2026-05-21,9.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_2.08,BAT,2026-05-22,2.08,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_2.43,BAT,2026-05-22,2.43,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_3.18,BAT,2026-05-22,3.18,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_3.53,BAT,2026-05-22,3.53,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_4.28,BAT,2026-05-22,4.28,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_5.03,BAT,2026-05-22,5.03,NO_LOCAL_RESULT_FILE_MATCH,0
918944,Redcar,2026-05-26,15:20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_5.40,BAT,2026-05-22,5.40,NO_LOCAL_RESULT_FILE_MATCH,0
918941,Redcar,2026-05-26,15:50,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAT_20260522_6.15,BAT,2026-05-22,6.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_5.20,DPT,2026-05-22,5.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_5.52,DPT,2026-05-22,5.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_6.29,DPT,2026-05-22,6.29,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_7.00,DPT,2026-05-22,7.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_7.30,DPT,2026-05-22,7.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_8.00,DPT,2026-05-22,8.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_DPT_20260522_8.30,DPT,2026-05-22,8.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_1.57,GOO,2026-05-22,1.57,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_2.32,GOO,2026-05-22,2.32,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_3.07,GOO,2026-05-22,3.07,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_3.42,GOO,2026-05-22,3.42,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_4.17,GOO,2026-05-22,4.17,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_4.52,GOO,2026-05-22,4.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_GOO_20260522_5.27,GOO,2026-05-22,5.27,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_1.45,HAY,2026-05-22,1.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_2.20,HAY,2026-05-22,2.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_4.05,HAY,2026-05-22,4.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_2.55,HAY,2026-05-22,2.55,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_3.30,HAY,2026-05-22,3.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_4.40,HAY,2026-05-22,4.40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260522_5.15,HAY,2026-05-22,5.15,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_6.20,PON,2026-05-22,6.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_6.52,PON,2026-05-22,6.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_7.22,PON,2026-05-22,7.22,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_7.52,PON,2026-05-22,7.52,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_8.22,PON,2026-05-22,8.22,NO_LOCAL_RESULT_FILE_MATCH,0
rp_PON_20260522_8.52,PON,2026-05-22,8.52,NO_LOCAL_RESULT_FILE_MATCH,0
918930,Leicester,2026-05-26,16:40,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_4.57,WOR,2026-05-22,4.57,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_5.32,WOR,2026-05-22,5.32,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_6.06,WOR,2026-05-22,6.06,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_6.41,WOR,2026-05-22,6.41,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_7.11,WOR,2026-05-22,7.11,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_7.41,WOR,2026-05-22,7.41,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_8.11,WOR,2026-05-22,8.11,NO_LOCAL_RESULT_FILE_MATCH,0
rp_WOR_20260522_8.41,WOR,2026-05-22,8.41,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260523_2.20,HAY,2026-05-23,2.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260523_4.05,HAY,2026-05-23,4.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_HAY_20260523_5.15,HAY,2026-05-23,5.15,NO_LOCAL_RESULT_FILE_MATCH,0
918955,Lingfield,2026-05-26,17:54,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_2.00,FON,2026-05-24,2.00,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_2.35,FON,2026-05-24,2.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_3.10,FON,2026-05-24,3.10,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_3.45,FON,2026-05-24,3.45,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_4.20,FON,2026-05-24,4.20,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_4.55,FON,2026-05-24,4.55,NO_LOCAL_RESULT_FILE_MATCH,0
920818,Plumpton,2026-05-26,18:09,NO_LOCAL_RESULT_FILE_MATCH,0
rp_FON_20260524_5.30,FON,2026-05-24,5.30,NO_LOCAL_RESULT_FILE_MATCH,0
921553,Ballinrobe,2026-05-26,19:30,NO_LOCAL_RESULT_FILE_MATCH,0
921524,Dundalk (AW),2026-05-26,19:48,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_4.30,BAL,2026-05-25,4.30,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_5.05,BAL,2026-05-25,5.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_5.35,BAL,2026-05-25,5.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_6.05,BAL,2026-05-25,6.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_6.35,BAL,2026-05-25,6.35,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_7.05,BAL,2026-05-25,7.05,NO_LOCAL_RESULT_FILE_MATCH,0
rp_BAL_20260525_7.35,BAL,2026-05-25,7.35,NO_LOCAL_RESULT_FILE_MATCH,0
918928,Leicester,2026-05-26,14:10,NO_LOCAL_RESULT_FILE_MATCH,0
918943,Redcar,2026-05-26,14:20,NO_LOCAL_RESULT_FILE_MATCH,0
918942,Redcar,2026-05-26,14:50,NO_LOCAL_RESULT_FILE_MATCH,0
918947,Redcar,2026-05-26,16:20,NO_LOCAL_RESULT_FILE_MATCH,0
918946,Redcar,2026-05-26,16:50,NO_LOCAL_RESULT_FILE_MATCH,0
920504,Bath,2026-05-26,14:30,NO_LOCAL_RESULT_FILE_MATCH,0
918931,Leicester,2026-05-26,14:40,NO_LOCAL_RESULT_FILE_MATCH,0
920505,Bath,2026-05-26,15:00,NO_LOCAL_RESULT_FILE_MATCH,0
918927,Leicester,2026-05-26,15:10,NO_LOCAL_RESULT_FILE_MATCH,0
920507,Bath,2026-05-26,15:30,NO_LOCAL_RESULT_FILE_MATCH,0
918933,Leicester,2026-05-26,15:40,NO_LOCAL_RESULT_FILE_MATCH,0
920509,Bath,2026-05-26,16:00,NO_LOCAL_RESULT_FILE_MATCH,0
918932,Leicester,2026-05-26,16:10,NO_LOCAL_RESULT_FILE_MATCH,0
920506,Bath,2026-05-26,16:30,NO_LOCAL_RESULT_FILE_MATCH,0
