type,race_id,resolved_race_id,horse_id,horse_name,resolution_method,reason,race_completeness,shadow_exclusion_reason
RACE,924518,rp_DUN_20260712_2.00,,,DUNDALK_COURSE_DATE_EXACT_OFFTIME_MATCH,"UNRESOLVED_HORSE_IDENTITY;RESULT_RUNNERS_NOT_IN_PREDICTION:['4589979', '7503728', '7583038']",PARTIAL,EXCLUDED_INCOMPLETE_RESULT
RACE,924519,rp_DUN_20260712_2.35,,,DUNDALK_COURSE_DATE_EXACT_OFFTIME_MATCH,"RESULT_RUNNERS_NOT_IN_PREDICTION:['7499452', '7627188', '7677605', '7947689']",PARTIAL,EXCLUDED_INCOMPLETE_RESULT
RACE,924521,rp_DUN_20260712_3.45,,,DUNDALK_COURSE_DATE_EXACT_OFFTIME_MATCH,"UNRESOLVED_HORSE_IDENTITY;RESULT_RUNNERS_NOT_IN_PREDICTION:['3761265', '4318855', '6064558', '6224818']",PARTIAL,EXCLUDED_INCOMPLETE_RESULT
RACE,924522,rp_DUN_20260712_4.20,,,DUNDALK_COURSE_DATE_EXACT_OFFTIME_MATCH,"UNRESOLVED_HORSE_IDENTITY;RESULT_RUNNERS_NOT_IN_PREDICTION:['2672209', '58958882']",PARTIAL,EXCLUDED_INCOMPLETE_RESULT
RACE,924524,rp_DUN_20260712_5.30,,,DUNDALK_COURSE_DATE_EXACT_OFFTIME_MATCH,RESULT_RUNNERS_NOT_IN_PREDICTION:['5831370'],PARTIAL,EXCLUDED_INCOMPLETE_RESULT
HORSE,924518,rp_DUN_20260712_2.00,rp_DUN_ipanema_queen,Ipanema Queen,UNRESOLVED,NO_CANDIDATE_FOUND,PARTIAL,EXCLUDED_IDENTITY_AMBIGUOUS
HORSE,924521,rp_DUN_20260712_3.45,rp_DUN_roman_harry,Roman Harry,UNRESOLVED,NO_CANDIDATE_FOUND,PARTIAL,EXCLUDED_IDENTITY_AMBIGUOUS
HORSE,924521,rp_DUN_20260712_3.45,rp_DUN_desert_of_the_sea,Desert Of The Sea,UNRESOLVED,NO_CANDIDATE_FOUND,PARTIAL,EXCLUDED_IDENTITY_AMBIGUOUS
HORSE,924521,rp_DUN_20260712_3.45,rp_DUN_monroe_dasher,Monroe Dasher,UNRESOLVED,NO_CANDIDATE_FOUND,PARTIAL,EXCLUDED_IDENTITY_AMBIGUOUS
HORSE,924522,rp_DUN_20260712_4.20,rp_DUN_grey_fable,Grey Fable,UNRESOLVED,NO_CANDIDATE_FOUND,PARTIAL,EXCLUDED_IDENTITY_AMBIGUOUS
