avg_winner_sp,date,eligible_races,frame_rate_pct,frames,result_completeness,sp_data_available,strike_rate_pct,theoretical_sp_roi_pct,timing_proof_status,wins
,2026-05-23,45,48.9,22,FULL,False,28.9,,NOT_RE_VERIFIED_THIS_MISSION,13
,2026-05-24,14,42.9,6,PARTIAL_SAMPLE,False,28.6,,NOT_RE_VERIFIED_THIS_MISSION,4
,2026-05-25,34,20.6,7,FULL,False,20.6,,NOT_RE_VERIFIED_THIS_MISSION,7
,2026-05-26,33,45.5,15,FULL,False,18.2,,NOT_RE_VERIFIED_THIS_MISSION,6
,2026-05-27,32,78.1,25,FULL,False,31.2,,NOT_RE_VERIFIED_THIS_MISSION,10
,2026-05-30,35,31.4,11,FULL,False,11.4,,NOT_RE_VERIFIED_THIS_MISSION,4
,2026-05-31,13,69.2,9,PARTIAL_SAMPLE,False,15.4,,NOT_RE_VERIFIED_THIS_MISSION,2
,2026-06-01,21,52.4,11,FULL,False,28.6,,NOT_RE_VERIFIED_THIS_MISSION,6
,2026-06-02,27,55.6,15,FULL,False,37.0,,NOT_RE_VERIFIED_THIS_MISSION,10
,2026-06-03,19,36.8,7,PARTIAL_SAMPLE,False,26.3,,NOT_RE_VERIFIED_THIS_MISSION,5
,2026-06-04,34,73.5,25,FULL,False,38.2,,NOT_RE_VERIFIED_THIS_MISSION,13
,2026-06-05,39,59.0,23,FULL,False,33.3,,NOT_RE_VERIFIED_THIS_MISSION,13
,2026-06-06,49,24.5,12,FULL,False,24.5,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-07,30,20.0,6,FULL,False,20.0,,NOT_RE_VERIFIED_THIS_MISSION,6
,2026-06-08,35,34.3,12,FULL,False,34.3,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-09,33,0.0,0,FULL,False,0.0,,NOT_RE_VERIFIED_THIS_MISSION,0
,2026-06-10,34,17.6,6,FULL,False,17.6,,NOT_RE_VERIFIED_THIS_MISSION,6
,2026-06-11,40,30.0,12,FULL,False,30.0,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-12,51,35.3,18,FULL,False,35.3,,NOT_RE_VERIFIED_THIS_MISSION,18
,2026-06-13,58,27.6,16,FULL,False,27.6,,NOT_RE_VERIFIED_THIS_MISSION,16
,2026-06-14,29,51.7,15,FULL,False,27.6,,NOT_RE_VERIFIED_THIS_MISSION,8
,2026-06-16,33,45.5,15,FULL,False,21.2,,NOT_RE_VERIFIED_THIS_MISSION,7
,2026-06-17,35,74.3,26,FULL,False,45.7,,NOT_RE_VERIFIED_THIS_MISSION,16
,2026-06-18,33,54.5,18,FULL,False,21.2,,NOT_RE_VERIFIED_THIS_MISSION,7
,2026-06-19,56,58.9,33,FULL,False,19.6,,NOT_RE_VERIFIED_THIS_MISSION,11
,2026-06-20,48,62.5,30,FULL,False,25.0,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-22,31,61.3,19,FULL,False,25.8,,NOT_RE_VERIFIED_THIS_MISSION,8
,2026-06-23,17,76.5,13,PARTIAL_SAMPLE,False,17.6,,NOT_RE_VERIFIED_THIS_MISSION,3
,2026-06-25,10,80.0,8,PARTIAL_SAMPLE,False,30.0,,NOT_RE_VERIFIED_THIS_MISSION,3
,2026-06-26,49,63.3,31,FULL,False,24.5,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-28,29,41.4,12,FULL,False,13.8,,NOT_RE_VERIFIED_THIS_MISSION,4
,2026-06-29,33,63.6,21,FULL,False,36.4,,NOT_RE_VERIFIED_THIS_MISSION,12
,2026-06-30,46,67.4,31,FULL,False,23.9,,NOT_RE_VERIFIED_THIS_MISSION,11
,2026-07-07,35,42.9,15,FULL,False,14.3,,NOT_RE_VERIFIED_THIS_MISSION,5
,2026-07-08,33,63.6,21,FULL,False,30.3,,NOT_RE_VERIFIED_THIS_MISSION,10
4.03,2026-07-10,44,52.3,23,FULL,True,20.5,-17.5,NOT_RE_VERIFIED_THIS_MISSION,9
4.15,2026-07-14,42,73.8,31,FULL,True,54.8,127.4,PROVEN,23
