another_model_found_winner,assigned_product,course,field_size,finishing_position,miss_classification,model_prob,off,predicted_horse,race_id,top3,winner,winner_sp
Old VELO,,Beverley,8,6,mid_priced_won,0.1365,2.47,Roy Lane,923070,What A Tahoo|Sparkling Wine|Dabbling,What A Tahoo,5.0
Old VELO,,Beverley,9,8,mid_priced_won,0.1257,3.48,Lever Up,923069,Kitsune Power|Sunny Orange|Star Start,Kitsune Power,5.0
NONE,,Beverley,11,5,mid_priced_won,0.1026,4.23,He's An Angel,923068,Crafty Spirit|So Grateful|Golden Prosperity,Crafty Spirit,7.5
Old VELO,,Beverley,8,8,short_fav_won,0.1417,4.58,Shahik,923067,The Sweet Escape|Thornaby Annie|Enjoy The Night,The Sweet Escape,1.91
NONE,,Downpatrick,12,7,short_fav_won,0.1091,2.07,Ritz Plan,924645,Fastnet Crystal|Mercurial Sea|Cool Native,Fastnet Crystal,2.62
NONE,,Downpatrick,12,9,outsider_won,0.1124,3.37,San Hilario,924648,Marcelrock|Magical Sal|O'Callaghan Can,Marcelrock,17.0
Old VELO,,Ffos Las,9,4,short_fav_won,0.1138,4.05,Freddie's Star,923073,Tokyo Joe|Spirit Of The Bay|Kaleidoscope Eyes,Tokyo Joe,1.91
Old VELO,,Ffos Las,9,4,short_fav_won,0.1151,4.40,Havana Tobouggaloo,923075,Homeland|Praise Indeed|Gert Lush,Homeland,3.0
Old VELO,,Killarney,14,11,mid_priced_won,0.1022,6.10,Wicklow Gap,924640,Cause I Like You|Zheleznaya Dama|Beau Army,Cause I Like You,4.33
NONE,,Killarney,15,4,outsider_won,0.0864,6.40,Majestic King,924641,Red Hugh O'Donnell|Mythical Rock|No More Porter,Red Hugh O'Donnell,34.0
Old VELO,,Killarney,13,5,short_fav_won,0.1063,8.10,Arch Empire,924644,Eagle Fang|Sunny South West|Path d'Oroux,Eagle Fang,2.88
Old VELO,,Leicester,10,10,mid_priced_won,0.1173,1.54,Bluestone Lady,923082,Emerald Bay|Hamdani Mokhater|Tiger In The Tree,Emerald Bay,5.5
NONE,,Leicester,6,5,short_fav_won,0.1673,2.54,Betelgeuse,923079,Ottoman|Joanna Hiffernan|Trojan Truth,Ottoman,2.62
Old VELO,,Leicester,6,4,mid_priced_won,0.1782,3.24,Nzuri,923081,Dottie Diamond|Dreambird Dolly|The Bear Of Saints,Dottie Diamond,4.0
NONE,,Longchamp,5,4,short_fav_won,0.1782,6.37,Proxima Du Centaur,924691,Behrayna|Pink Panthera|Dispatches,Behrayna,1.6
Old VELO,,Wolverhampton (AW),13,7,short_fav_won,0.0963,5.25,Just Dreaming,923386,George Wickham|Sugar Sugar|Thorpe Green,George Wickham,2.88
NONE,,Wolverhampton (AW),11,6,outsider_won,0.1086,5.55,Night Storm,923384,Jungle Drums|Twilight Fun|American Style,Jungle Drums,34.0
NONE,,Wolverhampton (AW),12,10,outsider_won,0.093,6.25,Charlemont GG,923383,La Fuerza|Wilbur|Waakabb,La Fuerza,12.0
NONE,,Wolverhampton (AW),12,7,mid_priced_won,0.0983,6.55,Dancing With Drums,923385,On Key|Midnight's Dream|Blackjack,On Key,5.0
