assigned_product,course,field_size,finishing_position,model_prob,off,predicted_horse,race_id,top3,winner,winner_sp
,Beverley,4,2,0.2393,3.17,It's Debatable,923065,Pendella|It's Debatable|Tamzan,Pendella,2.1
,Downpatrick,15,2,0.0992,3.07,Sea Of Doubt,924647,Small Bucks|Sea Of Doubt|Gortmore Lady,Small Bucks,12.0
,Downpatrick,6,3,0.2358,4.12,Playtime,924649,Gangster Granny|Lemmy Caution|Playtime,Gangster Granny,6.5
,Downpatrick,15,2,0.0856,4.47,Nakassama,924650,Tolka Row|Nakassama|Joya Del Mar,Tolka Row,34.0
,Downpatrick,10,2,0.1007,5.19,Payslip,924651,Its Time For A Run|Payslip|Loves A Laugh,Its Time For A Run,4.0
,Ffos Las,5,2,0.217,3.00,Our Fella,923076,Tallahassee Lassie|Our Fella|Devon Angel,Tallahassee Lassie,2.0
,Ffos Las,7,3,0.158,3.30,Nevasca Cinza,923071,Star Velocity|Queen Sana|Nevasca Cinza,Star Velocity,1.8
,Killarney,10,3,0.1255,7.10,Ankara,924642,Saga Gaga|Spanish Temptress|Ankara,Saga Gaga,4.0
,Killarney,8,2,0.1498,7.40,Tribal Star,924643,Gaoth Chuil|Tribal Star|Satono Chevalier,Gaoth Chuil,2.88
,Leicester,6,3,0.1499,2.24,Kudos Too,923077,Amazonica|Cloud Forest|Kudos Too,Amazonica,5.0
,Leicester,6,2,0.1698,3.57,Musical Soldier,923080,Gal|Musical Soldier|Arvana Belle,Gal,4.33
,Longchamp,6,2,0.1489,7.50,Parachutiste,924693,Sons And Lovers|Parachutiste|Double Major,Sons And Lovers,2.6
,Wolverhampton (AW),9,3,0.116,4.53,Rose Cotton,923387,Lady Magu|Desert Belle|Rose Cotton,Lady Magu,4.0
