assigned_product,course,field_size,model_prob,off,predicted_horse,race_id,top3,winner,winner_sp,winning_margin
,Beverley,4,0.2224,2.17,Fast Track,923066,Fast Track|Kokumi|Hair Raising,Fast Track,1.1,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Downpatrick,9,0.1234,2.37,Luker's Tipple,924646,Luker's Tipple|Fortis Et Liber|Liceo,Luker's Tipple,1.83,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Ffos Las,5,0.1775,2.30,Jaan Ki Tukri,923072,Jaan Ki Tukri|Louis The Fifth|Sole Ambition,Jaan Ki Tukri,1.57,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Ffos Las,5,0.2681,5.14,Liveinthelight,923074,Liveinthelight|Meet Me In Meraki|Bulldog Spirit,Liveinthelight,2.5,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Killarney,7,0.2426,5.09,Celtic Motif,924638,Celtic Motif|Taj Crown|Glittering Gem,Celtic Motif,1.2,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Killarney,8,0.1325,5.40,Wild Sapphire,924639,Wild Sapphire|Sron Na Caise|Dolly Hello,Wild Sapphire,2.5,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Leicester,5,0.2443,4.30,Melody De Vega,923078,Melody De Vega|Fille Imbassee|Hot Silk,Melody De Vega,2.75,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Leicester,11,0.1032,5.04,Manhattan Chute,923083,Manhattan Chute|Bullington Bry|Rogue Rebellion,Manhattan Chute,6.5,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Longchamp,7,0.1286,7.15,Maltese Cross,924692,Maltese Cross|Ancient Egypt|Alam,Maltese Cross,3.8,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
,Wolverhampton (AW),11,0.1118,7.25,Classy Clarets,924699,Classy Clarets|Cooramook|Whitesnake,Classy Clarets,1.57,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
