another_model_found_winner,assigned_product,course,field_size,finishing_position,miss_classification,model_prob,off,predicted_horse,race_id,top3,winner,winner_sp
NONE,PASS,Beverley,11,4,mid_priced_won,Pinpoint,4.23,Pinpoint,923068,Crafty Spirit|So Grateful|Golden Prosperity,Crafty Spirit,7.5
NONE,PASS,Downpatrick,15,13,outsider_won,Stormy Jenn,3.07,Stormy Jenn,924647,Small Bucks|Sea Of Doubt|Gortmore Lady,Small Bucks,12.0
NONE,WIN_ONLY,Downpatrick,12,9,outsider_won,San Hilario,3.37,San Hilario,924648,Marcelrock|Magical Sal|O'Callaghan Can,Marcelrock,17.0
NONE,VISION_ONLY,Downpatrick,10,6,mid_priced_won,Rememberwhat,5.19,Rememberwhat,924651,Its Time For A Run|Payslip|Loves A Laugh,Its Time For A Run,4.0
NONE,VISION_ONLY,Killarney,15,7,outsider_won,Elusive Duke,6.40,Elusive Duke,924641,Red Hugh O'Donnell|Mythical Rock|No More Porter,Red Hugh O'Donnell,34.0
NONE,PASS,Killarney,10,6,mid_priced_won,Speckled Meadow,7.10,Speckled Meadow,924642,Saga Gaga|Spanish Temptress|Ankara,Saga Gaga,4.0
NONE,VISION_ONLY,Leicester,6,4,mid_priced_won,Siwa Oasis,2.24,Siwa Oasis,923077,Amazonica|Cloud Forest|Kudos Too,Amazonica,5.0
NONE,VISION_ONLY,Leicester,6,5,short_fav_won,Betelgeuse,2.54,Betelgeuse,923079,Ottoman|Joanna Hiffernan|Trojan Truth,Ottoman,2.62
No-RPR,VISION_ONLY,Leicester,11,5,mid_priced_won,Marisitta,5.04,Marisitta,923083,Manhattan Chute|Bullington Bry|Rogue Rebellion,Manhattan Chute,6.5
NONE,PASS,Wolverhampton (AW),11,10,outsider_won,Rascal Recknell,5.55,Rascal Recknell,923384,Jungle Drums|Twilight Fun|American Style,Jungle Drums,34.0
NONE,VISION_ONLY,Wolverhampton (AW),12,6,mid_priced_won,Adelaide Bay,6.55,Adelaide Bay,923385,On Key|Midnight's Dream|Blackjack,On Key,5.0
