assigned_product,course,field_size,model_prob,off,predicted_horse,race_id,top3,winner,winner_sp,winning_margin
WIN_ONLY,Beverley,4,Fast Track,2.17,Fast Track,923066,Fast Track|Kokumi|Hair Raising,Fast Track,1.1,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Beverley,8,What A Tahoo,2.47,What A Tahoo,923070,What A Tahoo|Sparkling Wine|Dabbling,What A Tahoo,5.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Beverley,4,Pendella,3.17,Pendella,923065,Pendella|It's Debatable|Tamzan,Pendella,2.1,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
PASS,Beverley,9,Kitsune Power,3.48,Kitsune Power,923069,Kitsune Power|Sunny Orange|Star Start,Kitsune Power,5.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Beverley,8,The Sweet Escape,4.58,The Sweet Escape,923067,The Sweet Escape|Thornaby Annie|Enjoy The Night,The Sweet Escape,1.91,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
EW_CANDIDATE,Downpatrick,9,Luker's Tipple,2.37,Luker's Tipple,924646,Luker's Tipple|Fortis Et Liber|Liceo,Luker's Tipple,1.83,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
EW_CANDIDATE,Downpatrick,15,Tolka Row,4.47,Tolka Row,924650,Tolka Row|Nakassama|Joya Del Mar,Tolka Row,34.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
WIN_ONLY,Ffos Las,5,Jaan Ki Tukri,2.30,Jaan Ki Tukri,923072,Jaan Ki Tukri|Louis The Fifth|Sole Ambition,Jaan Ki Tukri,1.57,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Ffos Las,5,Tallahassee Lassie,3.00,Tallahassee Lassie,923076,Tallahassee Lassie|Our Fella|Devon Angel,Tallahassee Lassie,2.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
PASS,Ffos Las,7,Star Velocity,3.30,Star Velocity,923071,Star Velocity|Queen Sana|Nevasca Cinza,Star Velocity,1.8,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Ffos Las,9,Tokyo Joe,4.05,Tokyo Joe,923073,Tokyo Joe|Spirit Of The Bay|Kaleidoscope Eyes,Tokyo Joe,1.91,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Ffos Las,9,Homeland,4.40,Homeland,923075,Homeland|Praise Indeed|Gert Lush,Homeland,3.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Ffos Las,5,Liveinthelight,5.14,Liveinthelight,923074,Liveinthelight|Meet Me In Meraki|Bulldog Spirit,Liveinthelight,2.5,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
WIN_ONLY,Killarney,7,Celtic Motif,5.09,Celtic Motif,924638,Celtic Motif|Taj Crown|Glittering Gem,Celtic Motif,1.2,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Killarney,14,Cause I Like You,6.10,Cause I Like You,924640,Cause I Like You|Zheleznaya Dama|Beau Army,Cause I Like You,4.33,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Killarney,8,Gaoth Chuil,7.40,Gaoth Chuil,924643,Gaoth Chuil|Tribal Star|Satono Chevalier,Gaoth Chuil,2.88,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Killarney,13,Eagle Fang,8.10,Eagle Fang,924644,Eagle Fang|Sunny South West|Path d'Oroux,Eagle Fang,2.88,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
PASS,Leicester,10,Emerald Bay,1.54,Emerald Bay,923082,Emerald Bay|Hamdani Mokhater|Tiger In The Tree,Emerald Bay,5.5,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Leicester,6,Dottie Diamond,3.24,Dottie Diamond,923081,Dottie Diamond|Dreambird Dolly|The Bear Of Saints,Dottie Diamond,4.0,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Leicester,5,Melody De Vega,4.30,Melody De Vega,923078,Melody De Vega|Fille Imbassee|Hot Silk,Melody De Vega,2.75,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Longchamp,7,Maltese Cross,7.15,Maltese Cross,924692,Maltese Cross|Ancient Egypt|Alam,Maltese Cross,3.8,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
PASS,Wolverhampton (AW),13,George Wickham,5.25,George Wickham,923386,George Wickham|Sugar Sugar|Thorpe Green,George Wickham,2.88,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
VISION_ONLY,Wolverhampton (AW),11,Classy Clarets,7.25,Classy Clarets,924699,Classy Clarets|Cooramook|Whitesnake,Classy Clarets,1.57,NOT_IN_PRIMARY_ARTIFACT_SP_ONLY
