race_id,course,off_time,in_morning_racecard,in_old_velo_verdicts,in_rp_results_parsed,in_sigma_rows,in_model_comparison_ledger,in_nightly_learning_denominator,sigma_outcome,sigma_miss_class,sigma_true_non_runner,ledger_winner,ledger_velo_outcome
923065,Beverley,15:17,True,True,True,True,True,True,WIN,n/a,False,Pendella,WIN
923066,Beverley,14:17,True,True,True,True,True,True,WIN,n/a,False,Fast Track,WIN
923067,Beverley,16:58,True,True,True,True,True,True,WIN,n/a,False,The Sweet Escape,WIN
923068,Beverley,16:23,True,True,True,True,True,True,MISS,mid_priced_won,False,Crafty Spirit,MISS
923069,Beverley,15:48,True,True,True,True,True,True,WIN,n/a,False,Kitsune Power,WIN
923070,Beverley,14:47,True,True,True,True,True,True,WIN,n/a,False,What A Tahoo,WIN
923071,Ffos Las,15:30,True,True,True,True,True,True,WIN,n/a,False,Star Velocity,WIN
923072,Ffos Las,14:30,True,True,True,True,True,True,WIN,n/a,False,Jaan Ki Tukri,WIN
923073,Ffos Las,16:05,True,True,True,True,True,True,WIN,n/a,False,Tokyo Joe,WIN
923074,Ffos Las,17:14,True,True,True,True,True,True,WIN,n/a,False,Liveinthelight,WIN
923075,Ffos Las,16:40,True,True,True,True,True,True,WIN,n/a,False,Homeland,WIN
923076,Ffos Las,15:00,True,True,True,True,True,True,WIN,n/a,False,Tallahassee Lassie,WIN
923077,Leicester,14:24,True,True,True,True,True,True,MISS,mid_priced_won,False,Amazonica,MISS
923078,Leicester,16:30,True,True,True,True,True,True,WIN,n/a,False,Melody De Vega,WIN
923079,Leicester,14:54,True,True,True,True,True,True,MISS,short_fav_won,False,Ottoman,MISS
923080,Leicester,15:57,True,True,True,True,True,True,PLACED,n/a,False,Gal,PLACE
923081,Leicester,15:24,True,True,True,True,True,True,WIN,n/a,False,Dottie Diamond,WIN
923082,Leicester,13:54,True,True,True,True,True,True,WIN,n/a,False,Emerald Bay,WIN
923083,Leicester,17:04,True,True,True,True,True,True,MISS,mid_priced_won,False,Manhattan Chute,MISS
923383,Wolverhampton (AW),18:25,True,True,True,True,True,True,PLACED,n/a,False,La Fuerza,PLACE
923384,Wolverhampton (AW),17:55,True,True,True,True,True,True,MISS,outsider_won,False,Jungle Drums,MISS
923385,Wolverhampton (AW),18:55,True,True,True,True,True,True,MISS,mid_priced_won,False,On Key,MISS
923386,Wolverhampton (AW),17:25,True,True,True,True,True,True,WIN,n/a,False,George Wickham,WIN
923387,Wolverhampton (AW),16:53,True,True,True,True,True,True,PLACED,n/a,False,Lady Magu,PLACE
923388,Wolverhampton (AW),19:55,True,True,True,False,False,True,,,True,,
924638,Killarney,17:09,True,True,True,True,True,True,WIN,n/a,False,Celtic Motif,WIN
924639,Killarney,17:40,True,True,True,True,True,True,PLACED,n/a,False,Wild Sapphire,PLACE
924640,Killarney,18:10,True,True,True,True,True,True,WIN,n/a,False,Cause I Like You,WIN
924641,Killarney,18:40,True,True,True,True,True,True,MISS,outsider_won,False,Red Hugh O'Donnell,MISS
924642,Killarney,19:10,True,True,True,True,True,True,MISS,mid_priced_won,False,Saga Gaga,MISS
924643,Killarney,19:40,True,True,True,True,True,True,WIN,n/a,False,Gaoth Chuil,WIN
924644,Killarney,20:10,True,True,True,True,True,True,WIN,n/a,False,Eagle Fang,WIN
924645,Downpatrick,14:07,True,True,True,True,True,True,PLACED,n/a,False,Fastnet Crystal,PLACE
924646,Downpatrick,14:37,True,True,True,True,True,True,WIN,n/a,False,Luker's Tipple,WIN
924647,Downpatrick,15:07,True,True,True,True,True,True,MISS,outsider_won,False,Small Bucks,MISS
924648,Downpatrick,15:37,True,True,True,True,True,True,MISS,outsider_won,False,Marcelrock,MISS
924649,Downpatrick,16:12,True,True,True,True,True,True,PLACED,n/a,False,Gangster Granny,PLACE
924650,Downpatrick,16:47,True,True,True,True,True,True,WIN,n/a,False,Tolka Row,WIN
924651,Downpatrick,17:19,True,True,True,True,True,True,MISS,mid_priced_won,False,Its Time For A Run,MISS
924691,Longchamp,18:37,True,True,True,True,True,True,PLACED,n/a,False,Behrayna,PLACE
924692,Longchamp,19:15,True,True,True,True,True,True,WIN,n/a,False,Maltese Cross,WIN
924693,Longchamp,19:50,True,True,True,True,True,True,PLACED,n/a,False,Sons And Lovers,PLACE
924699,Wolverhampton (AW),19:25,True,True,True,True,True,True,WIN,n/a,False,Classy Clarets,WIN
