race_id,course,off_time,model,lane,predicted_horse,horse_id,prediction_rank,prediction_score,decision_tier,product,final_sp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety,source_row_sha256
923090,Catterick,4.10,CHAMPION_INTENT_SHADOW,shadow,Haaderr,,1,0.309051,,SHADOW_ONLY_velo_scoring_allowed_False,2.2,4,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
922987,Uttoxeter,4.18,CHAMPION_INTENT_SHADOW,shadow,Theonlywayiswessex,,1,0.249919,,SHADOW_ONLY_velo_scoring_allowed_False,4.5,PU,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923087,Bath,4.31,CHAMPION_INTENT_SHADOW,shadow,Hope Rising,,1,0.211347,,SHADOW_ONLY_velo_scoring_allowed_False,6.0,4,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
922989,Uttoxeter,4.48,CHAMPION_INTENT_SHADOW,shadow,Hello Cello,,1,0.145345,,SHADOW_ONLY_velo_scoring_allowed_False,6.5,7,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923088,Bath,5.05,CHAMPION_INTENT_SHADOW,shadow,Mbappe,,1,0.161213,,SHADOW_ONLY_velo_scoring_allowed_False,7.5,6,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924611,Killarney,5.30,CHAMPION_INTENT_SHADOW,shadow,Land Of The Giants,,1,0.100033,,SHADOW_ONLY_velo_scoring_allowed_False,6.5,6,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923103,Yarmouth,6.10,CHAMPION_INTENT_SHADOW,shadow,Kochella,,1,0.143488,,SHADOW_ONLY_velo_scoring_allowed_False,11.0,6,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923102,Yarmouth,6.40,CHAMPION_INTENT_SHADOW,shadow,Gorgeous Mr George,,1,0.227912,,SHADOW_ONLY_velo_scoring_allowed_False,4.5,4,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
923100,Lingfield,6.50,CHAMPION_INTENT_SHADOW,shadow,Jazz Queen,,1,0.314568,,SHADOW_ONLY_velo_scoring_allowed_False,8.5,4,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
924614,Killarney,7.00,CHAMPION_INTENT_SHADOW,shadow,Drop Dead Gorgeous,,1,0.169983,,SHADOW_ONLY_velo_scoring_allowed_False,9.5,8,False,intent_shadow_scorecard_2026_07_15.csv (single mutable file),2026-07-15T14:09:42.171241Z,NO_RUN_SCOPED_ID_AVAILABLE,AFTERNOON_PRE_RACE_PROVEN,
