race_id,course,off_time,model,lane,predicted_horse,prediction_rank,prediction_score,decision_tier,product,morning_price,final_sp,bsp,finishing_position,non_runner,source_artifact,generated_at,prediction_run_id,timing_safety
922986,Uttoxeter,2.18,CHAMPION_INTENT_SHADOW,shadow,Fine Thing,1,0.120047,,SHADOW_ONLY_NOT_SCORING,,2.88,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923093,Catterick,2.40,CHAMPION_INTENT_SHADOW,shadow,South West,1,0.109476,,SHADOW_ONLY_NOT_SCORING,,2.88,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923095,Catterick,3.10,CHAMPION_INTENT_SHADOW,shadow,Lady Dublin,1,0.269206,,SHADOW_ONLY_NOT_SCORING,,3.0,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923089,Bath,3.31,CHAMPION_INTENT_SHADOW,shadow,Darkened Edge,1,0.204122,,SHADOW_ONLY_NOT_SCORING,,2.25,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923091,Catterick,3.40,CHAMPION_INTENT_SHADOW,shadow,The Good Biscuit,1,0.155394,,SHADOW_ONLY_NOT_SCORING,,2.75,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923086,Bath,4.01,CHAMPION_INTENT_SHADOW,shadow,Campeona,1,0.238131,,SHADOW_ONLY_NOT_SCORING,,1.25,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923104,Yarmouth,5.00,CHAMPION_INTENT_SHADOW,shadow,Adalida,1,0.30003,,SHADOW_ONLY_NOT_SCORING,,2.5,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923097,Lingfield,5.50,CHAMPION_INTENT_SHADOW,shadow,Brunhilde,1,0.330959,,SHADOW_ONLY_NOT_SCORING,,1.14,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923099,Lingfield,6.20,CHAMPION_INTENT_SHADOW,shadow,Fire Thunder,1,0.147397,,SHADOW_ONLY_NOT_SCORING,,1.25,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
923107,Yarmouth,7.10,CHAMPION_INTENT_SHADOW,shadow,Highland Harvey,1,0.132866,,SHADOW_ONLY_NOT_SCORING,,2.2,,1,False,evidence_staging/2026-07-15/data/reports/intent_shadow_scorecard_2026_07_15.csv,,NO_RUN_SCOPED_ID_AVAILABLE,MORNING_RUN_UNPROVEN
