race_id,course,off_time_local,off_dt_utc,morning_pick,morning_probability,morning_product,afternoon_pick,afternoon_probability,afternoon_product,changed_pick,actual_winner,morning_prediction_hit,afternoon_prediction_hit,change_created_credited_winner,change_removed_credited_winner,afternoon_run_before_race_off,present_in_morning_run,present_in_afternoon_run_only
922985,Uttoxeter,3.18,2026-07-15T14:18:00+00:00,Samuel Spade,0.3919,PASS,Samuel Spade,0.3919,PASS,False,Sunray Shadow,False,False,False,False,True,True,False
922986,Uttoxeter,2.18,2026-07-15T13:18:00+00:00,Fine Thing,0.3801,PASS,Fine Thing,0.3801,PASS,False,Fine Thing,True,True,False,False,False,True,False
922987,Uttoxeter,4.18,2026-07-15T15:18:00+00:00,Le Gentleman,0.3273,VISION_ONLY,Le Gentleman,0.3273,VISION_ONLY,False,Pep Talking,False,False,False,False,True,True,False
922988,Uttoxeter,3.48,2026-07-15T14:48:00+00:00,Ask A Sainte,0.4325,VISION_ONLY,Ask A Sainte,0.4325,VISION_ONLY,False,King Ulanda,False,False,False,False,True,True,False
922989,Uttoxeter,4.48,2026-07-15T15:48:00+00:00,Global Hideaway,0.3132,PASS,Global Hideaway,0.3132,PASS,False,Belladinotte,False,False,False,False,True,True,False
922990,Uttoxeter,2.48,2026-07-15T13:48:00+00:00,Lady Fortune,0.2458,EW_CANDIDATE,Lady Fortune,0.2458,EW_CANDIDATE,False,Lady Fortune,True,True,False,False,False,True,False
922991,Uttoxeter,5.25,2026-07-15T16:25:00+00:00,Redbarn,0.4393,VISION_ONLY,Redbarn,0.4393,VISION_ONLY,False,The Elusive Pike,False,False,False,False,True,True,False
923084,Bath,2.31,2026-07-15T13:31:00+00:00,Saucy Jane,0.2595,PASS,Saucy Jane,0.2595,PASS,False,Grey Horizon,False,False,False,False,False,True,False
923085,Bath,3.01,2026-07-15T14:01:00+00:00,Bellatina,0.4706,VISION_ONLY,Bellatina,0.4876,VISION_ONLY,False,Sheer Beauty,False,False,False,False,False,True,False
923086,Bath,4.01,2026-07-15T15:01:00+00:00,Endofastorm,0.6007,VISION_ONLY,Endofastorm,0.6007,VISION_ONLY,False,Campeona,False,False,False,False,True,True,False
923087,Bath,4.31,2026-07-15T15:31:00+00:00,Hope Rising,0.5093,VISION_ONLY,Hope Rising,0.5093,VISION_ONLY,False,Yokkell,False,False,False,False,True,True,False
923088,Bath,5.05,2026-07-15T16:05:00+00:00,Havana Club,0.5387,VISION_ONLY,Havana Club,0.5387,VISION_ONLY,False,Havana Club,True,True,False,False,True,True,False
923089,Bath,3.31,2026-07-15T14:31:00+00:00,Coast,0.3721,PASS,Coast,0.3721,PASS,False,Darkened Edge,False,False,False,False,True,True,False
923090,Catterick,4.10,2026-07-15T15:10:00+00:00,Woodstock,0.3796,PASS,Woodstock,0.3796,PASS,False,Naval Light,False,False,False,False,True,True,False
923091,Catterick,3.40,2026-07-15T14:40:00+00:00,Dream Deal,0.3964,EW_CANDIDATE,Dream Deal,0.3964,EW_CANDIDATE,False,The Good Biscuit,False,False,False,False,True,True,False
923092,Catterick,2.10,2026-07-15T13:10:00+00:00,Made All,0.4228,VISION_ONLY,Made All,0.4228,VISION_ONLY,False,Palazzo Persico,False,False,False,False,False,True,False
923093,Catterick,2.40,2026-07-15T13:40:00+00:00,South West,0.425,PASS,South West,0.425,PASS,False,South West,True,True,False,False,False,True,False
923094,Catterick,4.40,2026-07-15T15:40:00+00:00,South Shore,0.2451,PASS,South Shore,0.2451,PASS,False,Our Absent Friends,False,False,False,False,True,True,False
923095,Catterick,3.10,2026-07-15T14:10:00+00:00,Lady Dublin,0.5368,VISION_ONLY,Lady Dublin,0.5368,VISION_ONLY,False,Lady Dublin,True,True,False,False,True,True,False
923096,Lingfield,7.20,2026-07-15T18:20:00+00:00,Desert Shadow,0.5002,VISION_ONLY,Desert Shadow,0.5002,VISION_ONLY,False,Desert Shadow,True,True,False,False,True,True,False
923097,Lingfield,5.50,2026-07-15T16:50:00+00:00,Brunhilde,0.5025,PASS,Brunhilde,0.5025,PASS,False,Brunhilde,True,True,False,False,True,True,False
923098,Lingfield,5.20,2026-07-15T16:20:00+00:00,Probation,0.4649,PASS,Probation,0.4649,PASS,False,Probation,True,True,False,False,True,True,False
923099,Lingfield,6.20,2026-07-15T17:20:00+00:00,Fire Thunder,0.6765,WIN_ONLY,Fire Thunder,0.6765,WIN_ONLY,False,Fire Thunder,True,True,False,False,True,True,False
923100,Lingfield,6.50,2026-07-15T17:50:00+00:00,Jazz Queen,0.3499,EW_CANDIDATE,Jazz Queen,0.3499,EW_CANDIDATE,False,Knock Three Times,False,False,False,False,True,True,False
923101,Lingfield,7.50,2026-07-15T18:50:00+00:00,Real Gold,0.6903,VISION_ONLY,Real Gold,0.6903,VISION_ONLY,False,Sunlit Sea,False,False,False,False,True,True,False
923102,Yarmouth,6.40,2026-07-15T17:40:00+00:00,Dion Baker,0.5343,VISION_ONLY,Dion Baker,0.5343,VISION_ONLY,False,Tryst,False,False,False,False,True,True,False
923103,Yarmouth,6.10,2026-07-15T17:10:00+00:00,Henley On Thames,0.4252,PASS,Henley On Thames,0.4252,PASS,False,Anchiano,False,False,False,False,True,True,False
923104,Yarmouth,5.00,2026-07-15T16:00:00+00:00,Adalida,0.6982,VISION_ONLY,Adalida,0.6982,VISION_ONLY,False,Adalida,True,True,False,False,True,True,False
923105,Yarmouth,5.35,2026-07-15T16:35:00+00:00,Splash,0.375,PASS,Splash,0.375,PASS,False,Splash,True,True,False,False,True,True,False
923106,Yarmouth,7.40,2026-07-15T18:40:00+00:00,Superstorm,0.5802,EW_CANDIDATE,Superstorm,0.5802,EW_CANDIDATE,False,Startled Lady,False,False,False,False,True,True,False
923107,Yarmouth,7.10,2026-07-15T18:10:00+00:00,Spaceage Love Song,0.583,VISION_ONLY,Spaceage Love Song,0.583,VISION_ONLY,False,Highland Harvey,False,False,False,False,True,True,False
924611,Killarney,5.30,2026-07-15T16:30:00+00:00,Minaun View,0.4933,EW_CANDIDATE,Minaun View,0.4933,EW_CANDIDATE,False,Minaun View,True,True,False,False,True,True,False
924612,Killarney,6.00,2026-07-15T17:00:00+00:00,South Dakota,0.9139,WIN_ONLY,South Dakota,0.9139,WIN_ONLY,False,Venetian Power,False,False,False,False,True,True,False
924613,Killarney,6.30,2026-07-15T17:30:00+00:00,Transcript,0.4087,WIN_ONLY,Kalir,0.4442,WIN_ONLY,True,Kalir,False,True,True,False,True,True,False
924614,Killarney,7.00,2026-07-15T18:00:00+00:00,Green Carrera,0.392,VISION_ONLY,Green Carrera,0.3962,VISION_ONLY,False,Meriden,False,False,False,False,True,True,False
924615,Killarney,7.30,2026-07-15T18:30:00+00:00,Draiocht,0.3768,PASS,Draiocht,0.3768,PASS,False,Bella Colombia,False,False,False,False,True,True,False
924616,Killarney,8.00,2026-07-15T19:00:00+00:00,Highway Sixty One,0.2772,PASS,Highway Sixty One,0.2772,PASS,False,Arch Enemy,False,False,False,False,True,True,False
924617,Killarney,8.30,2026-07-15T19:30:00+00:00,Folly Beach,0.2637,PASS,Folly Beach,0.3708,PASS,False,Loyal Touch,False,False,False,False,True,True,False
924710,Happy Valley,11.30,2026-07-15T03:30:00+00:00,Perfecto Moments,0.4156,EW_CANDIDATE,Perfecto Moments,0.4156,EW_CANDIDATE,False,Fashion Legend,False,False,False,False,False,True,False
924711,Happy Valley,12.00,2026-07-15T04:00:00+00:00,Jolly Companion,0.2704,EW_CANDIDATE,Jolly Companion,0.2704,EW_CANDIDATE,False,Starry Show,False,False,False,False,False,True,False
924712,Happy Valley,12.30,2026-07-15T04:30:00+00:00,Northern Beast,0.2966,PASS,Northern Beast,0.2966,PASS,False,Kyrus Treasure,False,False,False,False,False,True,False
924713,Happy Valley,1.00,2026-07-15T05:00:00+00:00,King Of Selection,0.2032,PASS,King Of Selection,0.2032,PASS,False,Shamz,False,False,False,False,False,True,False
924714,Happy Valley,1.30,2026-07-15T05:30:00+00:00,Winning Champion,0.2992,EW_CANDIDATE,Winning Champion,0.2992,EW_CANDIDATE,False,Winning Champion,True,True,False,False,False,True,False
924715,Happy Valley,2.00,2026-07-15T06:00:00+00:00,Marvel And Gold,0.2042,PASS,Marvel And Gold,0.2042,PASS,False,Gratifide,False,False,False,False,False,True,False
924716,Happy Valley,2.35,2026-07-15T06:35:00+00:00,Thriving Brothers,0.3122,VISION_ONLY,Thriving Brothers,0.3122,VISION_ONLY,False,Thriving Brothers,True,True,False,False,False,True,False
924717,Happy Valley,3.10,2026-07-15T07:10:00+00:00,Magic Control,0.2814,EW_CANDIDATE,Magic Control,0.2814,EW_CANDIDATE,False,Crimson Flash,False,False,False,False,False,True,False
924718,Happy Valley,3.50,2026-07-15T07:50:00+00:00,King Of Fighters,0.2648,PASS,King Of Fighters,0.2648,PASS,False,Harmony N Blessed,False,False,False,False,False,True,False
rp_UTT_20260715_2.18,UTT,,,,,,Moonshine River,0.3071,VISION_ONLY,False,,False,False,False,False,False,False,True
rp_UTT_20260715_2.48,UTT,,,,,,Granny B,0.3001,EW_CANDIDATE,False,,False,False,False,False,False,False,True
rp_UTT_20260715_3.18,UTT,,,,,,La Pinsonniere,0.6786,EW_CANDIDATE,False,,False,False,False,False,False,False,True
rp_UTT_20260715_3.48,UTT,,,,,,Machete Beach,0.6453,WIN_ONLY,False,,False,False,False,False,False,False,True
rp_UTT_20260715_4.18,UTT,,,,,,My Friend Sean,0.6818,EW_CANDIDATE,False,,False,False,False,False,False,False,True
rp_UTT_20260715_4.48,UTT,,,,,,Global Hideaway,0.4709,EW_CANDIDATE,False,,False,False,False,False,False,False,True
rp_UTT_20260715_5.25,UTT,,,,,,Redbarn,0.215,PASS,False,,False,False,False,False,False,False,True
