model,race_id,course,off_time,reason
OLD_VELO,924710,Happy Valley,11.30,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924711,Happy Valley,12.00,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924712,Happy Valley,12.30,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924713,Happy Valley,1.00,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924714,Happy Valley,1.30,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924715,Happy Valley,2.00,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924716,Happy Valley,2.35,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924717,Happy Valley,3.10,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
OLD_VELO,924718,Happy Valley,3.50,POST_RACE_OR_TIMING_UNRESOLVED_RELATIVE_TO_08_46_SNAPSHOT
NEW_BUILD,924710,Happy Valley,11.30,POST_RACE_GENERATED
NEW_BUILD,924711,Happy Valley,12.00,POST_RACE_GENERATED
NEW_BUILD,924712,Happy Valley,12.30,POST_RACE_GENERATED
NEW_BUILD,924713,Happy Valley,1.00,POST_RACE_GENERATED
NEW_BUILD,924714,Happy Valley,1.30,POST_RACE_GENERATED
NEW_BUILD,924715,Happy Valley,2.00,POST_RACE_GENERATED
NEW_BUILD,923092,Catterick,2.10,POST_RACE_GENERATED
NEW_BUILD,922986,Uttoxeter,2.18,POST_RACE_GENERATED
NEW_BUILD,923084,Bath,2.31,POST_RACE_GENERATED
NEW_BUILD,924716,Happy Valley,2.35,POST_RACE_GENERATED
NEW_BUILD,923093,Catterick,2.40,POST_RACE_GENERATED
NEW_BUILD,922990,Uttoxeter,2.48,POST_RACE_GENERATED
NEW_BUILD,923085,Bath,3.01,POST_RACE_GENERATED
NEW_BUILD,924717,Happy Valley,3.10,POST_RACE_GENERATED
NEW_BUILD,924718,Happy Valley,3.50,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924710,Happy Valley,11.30,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924711,Happy Valley,12.00,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924712,Happy Valley,12.30,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924713,Happy Valley,1.00,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924714,Happy Valley,1.30,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924715,Happy Valley,2.00,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,923092,Catterick,2.10,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,922986,Uttoxeter,2.18,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,923084,Bath,2.31,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924716,Happy Valley,2.35,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,923093,Catterick,2.40,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,922990,Uttoxeter,2.48,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,923085,Bath,3.01,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924717,Happy Valley,3.10,POST_RACE_GENERATED
CHAMPION_INTENT_SHADOW,924718,Happy Valley,3.50,POST_RACE_GENERATED
