rank,competitor,settled,wins,places,loses,win_pct,frame_pct,pnl_pts,roi_pct,selections,unmatched
1,RP RATINGS,176,52,45,79,29.5,55.1,28.43,16.2,199,17
2,WEST COUNTRY (Liam Watson),51,8,11,32,15.7,37.3,-1.25,-2.5,52,1
3,NEWMARKET (David Milnes),75,15,17,43,20.0,42.7,-9.33,-12.4,95,14
4,LAMBOURN (Liam Headd),36,6,8,22,16.7,38.9,-10.67,-29.6,42,5
5,D EXPRESS (Melissa Jones),162,47,41,74,29.0,54.3,-17.15,-10.6,188,18
6,THE IRISH SUN,32,1,9,22,3.1,31.2,-20.0,-62.5,46,12
7,TOPSPEED,90,17,20,53,18.9,41.1,-22.67,-25.2,103,7
8,DAILY RECORD (Garry Owen),162,43,48,71,26.5,56.2,-22.78,-14.1,188,18
9,THE TIMES (Rob Wright),160,44,46,70,27.5,56.2,-23.57,-14.7,187,17
10,DAILY MAIL (Robin Goodfellow),145,35,45,65,24.1,55.2,-24.15,-16.7,167,18
11,SPOTLIGHT,197,55,53,89,27.9,54.8,-29.89,-15.2,234,30
12,TELEGRAPH (Marlborough),161,34,54,73,21.1,54.7,-30.92,-19.2,187,17
13,POSTDATA,195,47,57,91,24.1,53.3,-30.99,-15.9,234,30
14,VELO / OUR PICK,191,49,44,98,25.7,48.7,-36.44,-19.1,,
15,THE STAR (Jason Heavey),165,37,40,88,22.4,46.7,-37.11,-22.5,186,18
16,THE GUARDIAN,145,34,50,61,23.4,57.9,-44.19,-30.5,165,17
17,THE SUN (Templegate),161,41,43,77,25.5,52.2,-45.33,-28.2,188,18
18,DAILY MIRROR (Newsboy),161,37,51,73,23.0,54.7,-54.26,-33.7,187,18
