date,rows,races,winner_sp_known,pick_sp_known,field_size_known,race_type_known,verdict_id_known
NULL_DATE,153,153,152,143,153,153,153
2026-06-30,45,45,45,0,0,0,0
2026-06-29,26,26,26,0,0,0,0
2026-06-28,28,28,28,0,0,0,0
2026-06-27,37,37,6,0,0,0,0
2026-06-26,46,46,46,0,0,0,0
2026-06-25,8,8,8,0,0,0,0
2026-06-23,16,16,16,0,0,0,0
2026-06-22,30,30,30,0,0,0,0
2026-06-20,46,46,46,0,0,0,0
2026-06-19,52,52,52,0,0,0,0
2026-06-18,33,33,33,0,0,0,0
2026-06-17,20,20,20,0,0,0,0
2026-06-16,33,33,33,0,0,0,0
2026-06-15,32,32,32,0,0,0,0
2026-06-14,29,29,29,0,0,0,0
2026-06-13,54,54,54,0,0,0,0
2026-06-12,43,43,43,0,0,0,0
2026-06-11,35,35,35,0,0,0,0
2026-06-10,26,26,26,0,0,0,0
2026-06-09,29,29,29,0,0,0,0
2026-06-08,29,29,28,0,0,0,0
2026-06-07,25,25,25,0,0,0,0
2026-06-06,42,42,42,0,0,0,0
2026-06-05,44,44,0,0,0,0,0
2026-06-04,23,23,23,0,0,0,0
2026-06-03,7,7,7,0,0,0,0
2026-06-02,11,11,11,0,0,0,0
2026-05-30,8,8,8,0,0,0,0
2026-05-29,16,16,0,0,0,0,0
2026-05-27,33,33,33,0,0,0,0
2026-05-25,24,24,24,0,0,0,0
2026-05-24,22,22,22,0,0,0,0
2026-05-22,36,36,36,0,0,0,0
2026-05-21,44,44,44,0,0,0,0
2026-05-20,32,32,32,0,0,0,0
2026-05-19,24,24,24,0,0,0,0
2026-05-18,28,28,28,0,0,0,0
2026-05-17,21,21,21,0,0,0,0
2026-05-16,50,50,50,0,0,0,0
2026-05-15,42,42,42,0,0,0,0
2026-05-14,28,28,28,0,0,0,0
2026-05-13,34,34,34,0,0,0,0
2026-05-12,38,38,37,0,0,0,0
2026-05-10,21,21,21,0,0,0,0
2026-05-09,56,56,56,0,0,0,0
2026-05-08,44,44,44,0,0,0,0
2026-05-07,36,36,36,0,0,0,0
2026-05-06,31,31,31,0,0,0,0
2026-05-05,31,31,31,0,0,0,0
2026-05-04,49,49,49,0,0,0,0
2026-05-03,35,35,34,0,0,0,0
2026-05-02,40,40,40,0,0,0,0
2026-05-01,34,34,34,0,0,34,0
2026-04-30,36,36,36,0,0,36,0
2026-04-29,33,33,33,29,0,33,0
2026-04-28,29,29,29,25,0,29,0
2026-04-27,26,26,26,21,0,26,0
2026-04-25,50,50,50,0,50,50,0
2026-04-24,43,43,43,32,43,43,0
2026-04-23,39,39,39,35,39,39,39
2026-04-22,32,32,32,32,32,32,0
2026-04-21,29,29,29,27,29,29,0
2026-04-20,37,37,37,37,37,37,0
2026-04-19,29,29,29,25,29,29,0
2026-04-18,45,45,45,44,45,45,0
2026-04-17,35,35,35,34,35,35,0
2026-04-16,29,29,29,24,29,29,0
2026-04-15,38,38,38,36,38,38,0
2026-04-14,35,35,35,33,35,35,0
2026-04-13,29,29,29,29,29,29,0
2026-04-12,36,36,36,34,36,36,0
2026-04-11,44,44,44,39,44,44,0
2026-04-10,41,41,41,39,41,41,0
2026-04-09,35,35,35,29,35,35,0
2026-04-08,37,37,37,35,37,37,0
2026-04-07,23,23,23,23,23,23,0
2026-04-06,44,44,44,42,44,44,0
2026-04-04,46,46,46,38,46,46,0
2026-04-03,22,22,22,20,22,22,0
2026-04-02,27,27,27,27,27,27,0
2026-04-01,33,33,33,33,33,33,0
2026-03-31,27,27,27,26,27,27,0
2026-03-29,22,22,22,21,22,22,0
2026-03-28,32,32,32,32,32,32,0
2026-03-27,36,36,36,35,36,36,36
2026-03-26,35,35,35,34,35,35,35
2026-03-25,30,30,30,30,30,30,30
2026-03-24,23,23,23,23,23,23,23
2026-03-23,21,21,21,21,21,21,21
2026-03-19,26,26,26,25,26,26,26
2026-03-17,37,37,37,0,0,0,0
2026-02-25,2,2,0,0,0,0,0
2026-02-22,3,3,0,0,0,0,0
2026-02-20,3,3,0,0,0,0,0
2026-02-18,3,3,0,0,0,0,0
2026-02-15,3,3,0,0,0,0,0
2026-02-10,3,3,0,0,0,0,0
2026-02-05,3,3,0,0,0,0,0
2026-01-30,3,3,0,0,0,0,0
2026-01-25,3,3,0,0,0,0,0
2026-01-20,3,3,0,0,0,0,0
2026-01-15,3,3,0,0,0,0,0
2026-01-09,5,5,0,0,0,5,0
