race_id,top_rank_horse_id,pick_sp_extracted,field_size_extracted,race_type_extracted,sigma_row_has_pick_sp,sigma_row_has_field_size,sigma_row_has_race_type,verdict_id_included,notes
923676,2735375,4.5,10,,True,True,False,False,
923675,4175302,5.0,16,,True,True,False,False,
923674,5398600,1.5,8,,True,True,False,False,
923673,3918344,11.0,12,,True,True,False,False,
923672,3404048,11.0,16,,True,True,False,False,
923671,5708529,7.0,13,,True,True,False,False,
923670,58958864,3.5,6,,True,True,False,False,
922098,8455192,1.75,7,,True,True,False,False,
922095,4455445,1.5,5,,True,True,False,False,
922097,2537445,2.25,10,,True,True,False,False,
922096,5784839,1.75,8,,True,True,False,False,
922094,6175550,1.25,8,,True,True,False,False,
922093,5746437,3.0,3,,True,True,False,False,
923575,8174736,3.0,6,,True,True,False,False,
923574,8227216,1.1,3,,True,True,False,False,
923573,7204800,1.5,7,,True,True,False,False,
923572,6037314,16.0,7,,True,True,False,False,
923571,9194406,4.5,11,,True,True,False,False,
923570,3550630,2.25,6,,True,True,False,False,
923569,9364266,1.1,8,,True,True,False,False,
