ref,message,date,file_count,insertions,deletions,classification,safe_to_drop_now,duplicated_by_merged_prs_92_98
stash@{0},On main: Stashing state to pass Worktree Safety for June 16th Prep,2026-06-16T00:00:06,40,8511,7058,DATA_BACKFILL_CANDIDATE,false,false
stash@{1},WIP on stabilization/prime-hardening-v1: b6150a7,2026-06-14T11:55:05,7,3021,4088,DATA_BACKFILL_CANDIDATE,false,false
stash@{2},WIP on stabilization/prime-hardening-v1: c6ec939,2026-06-12T20:53:02,2,2,2,DUPLICATE_OF_MERGED_WORK,false,false
stash@{3},WIP on cleanup/one-truth-production-ready: c7b287a,2026-05-19T20:08:16,11,123,131,UNKNOWN_NEEDS_MANUAL_REVIEW,false,false
stash@{4},WIP on ops-worker-shadow-loop-preserve: 70aab60,2026-05-19T18:21:40,21,12450,10777,KEEP_IMPORTANT,false,false
stash@{5},On main: pre-merge tracked runtime/doc work — review required,2026-05-07T20:30:32,9,473,49,KEEP_IMPORTANT,false,false
stash@{6},WIP on checkpoint/oasis-clean-spine-audit-v2-passed: 17802a4,2026-04-27T05:52:33,42,4841,2030,KEEP_IMPORTANT,false,false
stash@{7},WIP on codex/live-trigger-hardening: e289710,2026-04-16T17:12:44,35,11894,11897,SAFE_TO_DROP_AFTER_OPERATOR_APPROVAL,false,false
stash@{8},WIP on shadow-lab: e8bcbfe,2026-04-12T13:59:46,10,400,193,UNKNOWN_NEEDS_MANUAL_REVIEW,false,false
stash@{9},WIP on shadow-lab: e8bcbfe,2026-04-12T13:59:46,52,145791,144642,SAFE_TO_DROP_AFTER_OPERATOR_APPROVAL,false,false
stash@{10},WIP on main: d0dcc3a,2026-03-24T05:44:55,15,164,1351,UNKNOWN_NEEDS_MANUAL_REVIEW,false,false
