metric,value
total_rows,1387120
date_min,2017-01-01
date_max,2025-07-05
rows_2024_plus,253751
draw_known,"{'error': '{\'message\': \'JSON could not be generated\', \'code\': 500, \'hint\': \'Refer to full message for details\', \'details\': ""b\'\'""}'}"
sp_known,"{'error': '{\'message\': \'JSON could not be generated\', \'code\': 500, \'hint\': \'Refer to full message for details\', \'details\': ""b\'\'""}'}"
rpr_known,"{'error': '{\'message\': \'JSON could not be generated\', \'code\': 500, \'hint\': \'Refer to full message for details\', \'details\': ""b\'\'""}'}"
or_known,"{'error': '{\'message\': \'JSON could not be generated\', \'code\': 500, \'hint\': \'Refer to full message for details\', \'details\': ""b\'\'""}'}"
comment_known,"{'error': '{\'message\': \'JSON could not be generated\', \'code\': 500, \'hint\': \'Refer to full message for details\', \'details\': ""b\'\'""}'}"
note,per-course breakdown skipped — 1.38M rows exceeds read-only audit budget in this pass
