course,off_time,race_id,horse,tier,vp,mds,improvement,place_prob,assigned_product,outcome,position,sp_dec,pnl,winner,winner_sp_dec,miss_class
BAN,1.50,rp_BAN_20260523_1.50,Ladies Day,B,0.2317,0.0986,0.0872,0.6807,PASS,WIN,1,1.57,0.57,Ladies Day,1.57,
BAN,2.25,rp_BAN_20260523_2.25,Kadjar Des Mottes,B,0.2346,0.0371,0.0872,0.6288,PASS,MISS,,,-1.0,Le Gentleman,5.0,mid_priced_won
BAN,3.00,rp_BAN_20260523_3.00,Copper Beach,C,0.12,0.0402,0.0872,0.502,PASS,PLACED,2,4.33,-1.0,Crystal Glance,5.5,
BAN,3.32,rp_BAN_20260523_3.32,Gris Majeur,B,0.1885,0.0288,0.0872,0.5888,PASS,WIN,1,10.0,9.0,Gris Majeur,10.0,
BAN,4.10,rp_BAN_20260523_4.10,Cruz Control,B,0.1614,0.0669,0.0872,0.7235,PASS,MISS,,,-1.0,Somespring Special,2.75,short_fav_won
BAN,4.45,rp_BAN_20260523_4.45,Camshaft,B,0.1762,0.0525,0.0872,0.5841,PASS,WIN,1,4.33,3.33,Camshaft,4.33,
BAN,5.20,rp_BAN_20260523_5.20,Bourbon Girl,B,0.3416,0.0623,0.0872,0.5748,PASS,PLACED,2,6.5,-1.0,Lady Coco,2.88,
CRT,1.35,rp_CRT_20260523_1.35,Loch Cuan,B,0.1824,0.0951,0.0872,0.6476,PASS,WIN,1,3.25,2.25,Loch Cuan,3.25,
CRT,2.10,rp_CRT_20260523_2.10,Belle Le Grand,C,0.1123,0.0481,0.0872,0.5344,PASS,MISS,,,-1.0,My Chiquita,5.0,mid_priced_won
CRT,2.43,rp_CRT_20260523_2.43,Musique De Fee,B,0.1866,0.042,0.0872,0.6289,PASS,PLACED,2,5.5,-1.0,Tread Softly Now,9.0,
CRT,3.20,rp_CRT_20260523_3.20,Tellherthename,A,0.4832,0.3098,0.0872,0.9879,VISION_ONLY,WIN,1,1.22,0.22,Tellherthename,1.22,
CRT,3.55,rp_CRT_20260523_3.55,Loup De Maulde,B,0.1548,0.0575,0.0872,0.6438,PASS,MISS,,,-1.0,Ki Woo,4.0,mid_priced_won
CRT,4.30,rp_CRT_20260523_4.30,Defence Witness,C,0.1822,0.0229,0.0872,0.3927,PASS,MISS,,,-1.0,Halfway House Lad,2.2,short_fav_won
CRT,5.05,rp_CRT_20260523_5.05,Line Of Descent,C,0.148,0.0475,0.0872,0.5272,PASS,MISS,,,-1.0,Imperial Rule,26.0,outsider_won
CUR,1.20,rp_CUR_20260523_1.20,Sergei Diaghilev,B,0.2682,0.1094,0.0872,0.4864,PASS,WIN,1,1.67,0.67,Sergei Diaghilev,1.67,
CUR,1.55,rp_CUR_20260523_1.55,Purview,B,0.1902,0.0525,0.0872,0.4906,VISION_ONLY,WIN,1,5.0,4.0,Purview,5.0,
CUR,2.30,rp_CUR_20260523_2.30,Fiver Friday,X,0.1098,0.0179,0.0872,0.2779,PASS,MISS,4,6.0,-1.0,Perry Mason,17.0,outsider_won
