date,course,race_id,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,wgt,hg,time,sp,jockey,trainer,prize,or,rpr,ts,sire,dam,damsire,owner,comment
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,6.0,4,8.0,6.75,0.5,Gala Casino Star (IRE),10,G,8-12,v,1:54.79,16/1,Jordan Nason,Lawrence Mullaney,312.65,68,62,–,Dr Fong (USA),Abir GB,Soviet Star,G B Racing Club,Soon tracking leaders - led over 3f out - headed 2f out - kept on same pace(op 25/1)
2015-04-26,Wetherby,622455,5:15,Bingo At bet365 Handicap,Flat,Class 6,,0-60,3yo,,1m,Good,10,9.0,10,11.0,25.75,11,Azamaara (IRE),3,F,9-4,,1:46.39,28/1,Jimmy Quinn,Conrad Allen,,57,–,–,Azamour (IRE),Causeway Queen (IRE),Giants Causeway,A Al Kathiri,Mid-division - ridden and lost place 4f out - well behind when eased closing stages(op 25/1)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,7.0,2,2.0,4.5,4.5,Fly With Emirates (IRE),3,C,8-12,,1:27.73,7/1,Matthew Lawson,Saeed bin Suroor,1251.25,–,72,–,Lawman (FR),Keriyka (IRE),Indian Ridge,Godolphin,Tracked leaders - took keen hold - outpaced over 3f out - 3rd over 1f out - stayed on to take 2nd last 75yds(op 6/1 tchd 11/2)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,8.0,3,8.0,7,2.5,Mickey Haller (IRE),3,C,9-1,,1:28.23,EvensF,Jimmy Fortune,Brian Meehan,625.3,–,65,–,Approve (IRE),Miss Assertive GB,Zafonic,Michael Buckley,Tracked leaders - took keen hold - effort over 3f out - kept on same pace final furlong(op 6/4 tchd 10/11)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,10.0,4,9.0,10.5,3.5,Mugharred (USA),3,C,9-1,,1:28.93,9/1,Paul Hanagan,B W Hills,312.65,–,56,–,Bernardini (USA),Wid (USA),Elusive Quality,Hamdan Al Maktoum,Took keen hold in mid-division - outpaced over 3f out - kept on final 2f(op 17/2 tchd 10/1)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,6.0,5,4.0,13,2.5,Caeser The Gaeser (IRE),3,G,9-1,,1:29.43,33/1,Jason Hart,Richard Guest,,–,49,–,Captain Rio (GB),Alchimie (IRE),Sri Pekan,David Aarons,Tracked leaders - took keen hold - ridden over 2f out - weakened over 1f out(op 25/1)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,4.0,9,11.0,20.25,1.5,Zruda (GB),4,F,9-9,,1:30.88,200/1,Raul Da Silva,David Thompson,,–,30,–,Observatory (USA),Pagan Princess GB,Mujtahid,K M Everitt,Went right start - always in rear
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,5.0,7,3.0,17.75,4.5,Bond Mystery (GB),3,G,9-1,,1:30.38,33/1,Paul Quinn,Richard Whitaker,,–,37,–,Monsieur Bond (IRE),Scooby Dooby Do GB,Atraf,Paul Davies Hgte,In rear and soon driven along - never on terms(tchd 40/1)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,9.0,1,6.0,0,0,Mount Tahan (IRE),3,G,9-1,,1:26.83,3/1,Paul Mulrennan,Kevin Ryan,4204.85,–,83,–,Lope De Vega (IRE),Sorpresa (USA),Pleasant Tap,T A Rahman,Made all - driven over 3f out - forged clear last 150yds - readily(op 5/2)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,5.0,5,1.0,8,1.25,Frontline Phantom (IRE),8,G,8-10,,1:55.04,11/2,Peter Sword,K R Burke,,68,59,–,Noverre (USA),Daisy Hill GB,Indian Ridge,Ontoawinner Mrs E Burke,Tracked leaders - not clear run on inner 3f out - switched right over 1f out - kept on(op 15/2 tchd 8/1)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,11.0,10,2.0,22,3.25,City Ground (USA),8,G,8-9,,1:57.84,12/1,Nathan Evans,Michael Easterby,,67,27,–,Orientate (USA),Magnet (USA),Seeking The Gold,Steve Hull,Led - headed over 3f out - weakened final 2f(op 14/1 tchd 16/1)
2015-04-26,Wetherby,625371,3:05,bet365 EBF Stallions Maiden Stakes (Div II),Flat,Class 5,,,3yo+,,7f,Good,11,1.0,11,1.0,39.25,16,Breughel (GER),4,G,9-11,,1:34.68,25/1,Jacob Butterfield,Ollie Pears,,–,–,–,Dutch Art (GB),Bezzaaf GB,Machiavellian,Charles Wentworth,Slowly into stride - in rear - behind final 3f - tailed off(tchd 33/1)
2015-04-26,Wetherby,622455,5:15,Bingo At bet365 Handicap,Flat,Class 6,,0-60,3yo,,1m,Good,10,7.0,8,3.0,13.5,1.5,Red Majesty (GB),3,G,9-3,,1:43.94,12/1,Shane Gray,Kevin Ryan,,59,34,–,Acclamation (GB),Red Shareef GB,Marju,Mubarak Al Naemi,Led 1f - chased leaders - lost place well over 1f out(op 10/1)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,3.0,8,5.0,18.5,3.25,Save The Bees (GB),7,G,9-4,,1:57.14,9/2,Daniel Tudhope,Declan Carroll,,69,37,–,Royal Applause (GB),Rock Concert GB,Bishop Of Cashel,Steve Ryan,With leaders - upsides over 3f out - lost place over 1f out(op 4/1 tchd 7/2 and tchd 5/1)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,4.0,9,9.0,18.75,0.3,Chocolate Diamond (IRE),4,G,9-4,,1:57.19,12/1,Graham Lee,Micky Hammond,,69,37,–,Intense Focus (USA),Sagemacca (IRE),Danehill Dancer,The Diamond Geezers,Held up in rear - never on terms(op 17/2)
2015-04-26,Wetherby,622452,3:35,bet365 Handicap,Flat,Class 4,,0-80,4yo+,,1m5f,Good,9,8.0,9,10.0,19.75,10,Istimraar (IRE),4,G,8-10,p,2:55.57,33/1,Garry Whillans,Philip Kirby,,75,54,–,Dansili (GB),Manayer (IRE),Sadlers Wells,Claudio Michael Grech,Chased leaders - driven over 3f out - lost place over 2f out - behind when eased closing stages(op 20/1)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,8.0,7,7.0,15.25,4.5,Broctune Papa Gio (GB),8,G,9-3,,1:56.49,25/1,David Nolan,Keith Reveley,,68,43,–,Tobougg (IRE),Fairlie GB,Halling,D Renton C Alessi D Young Reveley Farms,Chased leaders - effort over 2f out - weakened quickly last 150yds(op 22/1)
2015-04-26,Wetherby,622456,5:45,Casino At bet365 Handicap,Flat,Class 5,,0-70,4yo+,,1m1f,Good,10,2.0,6,10.0,10.75,2.75,The Osteopath (IRE),12,G,9-5,,1:55.59,20/1,Phillip Makin,John Davies,,70,55,–,Danehill Dancer (IRE),Miss Margate (IRE),Dont Forget Me,Kevin Kirkup,In rear - kept on final 2f - never a factor
