race_id,horse,improvement_score,market_deception_score,place_prob,verdict_flags
rp_CUR_20260524_1.45,Sun Goddess,0.0872,0.0986,0.6348,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_2.15,Great Barrier Reef,0.0872,0.1263,0.7481,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_2.45,Punica Granatum,0.0872,0.0108,0.2219,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_3.20,Jancis,0.0872,0.0254,0.4114,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_3.55,Saddadd,0.0872,0.0164,0.4051,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_4.30,True Love,0.0872,0.1481,0.6726,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_5.05,Spanish Temptress,0.0872,0.0331,0.4298,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_CUR_20260524_5.40,Reverend Hubert,0.0872,0.0183,0.2004,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_FON_20260524_2.00,Handmedownastar,0.0872,0.1277,0.7481,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
rp_FON_20260524_2.35,Hiero Sport,0.0872,0.0403,0.6635,"['policy:current', 'profile:SQPE_IMPROVEMENT_MDS_V1', 'g_threshold:0.60', 'g_lay_the_story_weak:0.00x', 'g_shadow_tracking_weak:0.06x', 'g_shadow:applied_not_live', 'mode:FULL_MINUS_DEAD', 'field_killed:improvement_score']"
