horse,assigned_product,tier
Sans Bruit,PASS,B
I Wish You,PASS,X
Secret Squirrel,PASS,C
Twistthenightaway,PASS,B
Chasingouttheblues,PASS,X
West Hill Verde,VISION_ONLY,A
Brady Hartsfield,PASS,B
Senator,PASS,C
Tory Hill,VISION_ONLY,B
Park Princess,VISION_ONLY,A
I've Madeupmymind,PASS,C
Good Boy Griff,VISION_ONLY,B
Lady Jago,VISION_ONLY,B
Robert d'Ores,PASS,X
Tide Is Turning,PASS,X
Moonhall Lass,PASS,X
Dowman,PASS,C
Starsong,PASS,C
Joycean Way,VISION_ONLY,B
Zipwire,PASS,C
Majestic Leo,VISION_ONLY,B
Clipsham Noble,PASS,D
Catching The Moon,VISION_ONLY,B
Zavateri,PASS,B
Bellum Justum,PASS,B
Stem,PASS,C
Lighting Thunder,PASS,C
Water To Wine,PASS,C
King Al,VISION_ONLY,B
Eskimo Pie,PASS,C
Hen Party,VISION_ONLY,A
Magnificent Mel,PASS,X
Papa Don't Preach,VISION_ONLY,B
Eagle Day,VISION_ONLY,B
Wicklow Way,VISION_ONLY,B
Penny Ghent,PASS,C
Clipsham Noble,VISION_ONLY,B
Bai Tong,VISION_ONLY,A
Advance Twentyfive,VISION_ONLY,A
Solar Biricz,PASS,C
Woodstock,PASS,X
Green Pursuit,PASS,D
Hackney Diamonds,VISION_ONLY,B
Schrodinger's Cat,PASS,C
Tommytwohoots,PASS,C
Ole Ole,PASS,B
Kasper Hauser,PASS,C
Patty O'Farrell,VISION_ONLY,B
Blue Reed,VISION_ONLY,B
Bella Union,PASS,X
Large Steps,PASS,C
Gillane,VISION_ONLY,A
Changemyluck,PASS,B
Starlyte,PASS,X
Looking Splendid,VISION_ONLY,B
Wolfburg,VISION_ONLY,B
Ellistrin Bay,PASS,D
Glenridding,VISION_ONLY,B
Boley Bob,PASS,B
Dilrisk,PASS,C
Port Louis,PASS,C
Hoodie Hoo,VISION_ONLY,A
Phaedra,PASS,C
Golden Brown,VISION_ONLY,A
Archer's Grace,PASS,C
Lion Ring,VISION_ONLY,B
The Hare Rail,PASS,C
Gimmieminnie,VISION_ONLY,B
Clansman,PASS,B
Ziata,PASS,B
Gouken,VISION_ONLY,A
Enter Sandman,VISION_ONLY,B
Lord Capulet,PASS,X
Pebble Dash,PASS,X
Vollering,PASS,C
Worlington,PASS,C
Flying Star,PASS,C
Sea Legend,PASS,B
Mr Colonel,VISION_ONLY,A
Jam Lass,VISION_ONLY,B
Belling The Cat,PASS,C
Oh So Charming,VISION_ONLY,B
Crooked Path,VISION_ONLY,A
The Monkey Pole,PASS,B
Mollys Dolly,PASS,C
Yoursimplythebest,PASS,X
Jumping Susie,VISION_ONLY,A
Cullenwaine,PASS,D
Cold Old Fire,VISION_ONLY,A
Jamie's Choice,PASS,C
Peggy Boo,PASS,B
Cranachan,VISION_ONLY,A
Stella Lucente,VISION_ONLY,A
Simply Blue,VISION_ONLY,B
Yorkshire Glory,PASS,B
Nakatomi,PASS,B
Un Sens A La Vie,PASS,B
Noonetellsmenothin,VISION_ONLY,B
Annie Express,VISION_ONLY,B
Shes All Pride,VISION_ONLY,B
Milly Ocean,PASS,B
Est Illic,VISION_ONLY,B
Off The Jury,PASS,B
Walking On A Dream,VISION_ONLY,B
No Drama This End,PASS,B
Panic Attack,VISION_ONLY,A
Coup De Coeur,PASS,B
Tread Softly Now,VISION_ONLY,B
Lennie Godber,VISION_ONLY,B
Blue Indigo,VISION_ONLY,B
Parchment,PASS,B
Pooley's Promise,VISION_ONLY,A
Taritino,VISION_ONLY,B
Little Lady Lucy,PASS,B
Mcgregors Charge,VISION_ONLY,B
Modern Style,PASS,B
Jojo's Legacy,PASS,B
Go Just Do It,VISION_ONLY,A
Greek Flower,VISION_ONLY,B
Lord Massusus,PASS,C
Bullet Bourbon,VISION_ONLY,B
Manhattan Dandy,PASS,B
Deluca Chop,VISION_ONLY,B
Moretons,PASS,B
Rock Armour,PASS,B
Three No Trumps,VISION_ONLY,B
Lauralynn,VISION_ONLY,A
Until Dawn,PASS,C
Tropez Power,VISION_ONLY,B
Freddy Robinson,VISION_ONLY,A
Copper And Five,VISION_ONLY,B
Bantz,VISION_ONLY,B
Laser Luck,VISION_ONLY,A
Celtic Alliance,PASS,B
Platin Moon,VISION_ONLY,B
So Many Roads,VISION_ONLY,B
Westerninthepark,PASS,B
Ned Tanner,PASS,B
Just Dottie,VISION_ONLY,B
Gone With The Tide,PASS,B
Jirko,VISION_ONLY,B
Yazin,VISION_ONLY,A
Sands Of Seve,VISION_ONLY,A
Captain Brett,VISION_ONLY,B
Elsass,VISION_ONLY,B
Raspoutine,VISION_ONLY,B
Got The Booty,PASS,B
On Key,VISION_ONLY,B
Fircombe Hall,PASS,B
Testing Patience,PASS,C
Benign Dictator,VISION_ONLY,B
Realta Liath,PASS,X
Country Mouse,PASS,X
Lone Soldier,VISION_ONLY,B
Major Major,PASS,B
Moonshine Man,PASS,B
Lion Rose Sivola,PASS,B
Aughlish,VISION_ONLY,A
Lady Landhort,VISION_ONLY,B
Iryna's Star,VISION_ONLY,B
Mullacash Buzz,VISION_ONLY,A
Mendez,PASS,B
Liberate,PASS,B
Tara Power,VISION_ONLY,A
Quay Item,PASS,B
Inflexible,VISION_ONLY,B
My Boy Aaron,VISION_ONLY,A
Miss Kingston,VISION_ONLY,A
Hypotenus,PASS,B
Razzle Dazzle Boy,VISION_ONLY,A
Yippee Ki Yay,VISION_ONLY,A
Love Me,VISION_ONLY,B
Masterclass,PASS,X
Ey Up He's A Star,VISION_ONLY,B
Deported,VISION_ONLY,A
Silver State,PASS,C
Finally Escaped,PASS,C
The Jackal,PASS,B
Risk Averse Rebel,VISION_ONLY,A
Lisnamurrican,VISION_ONLY,A
Sweet Nightingale,VISION_ONLY,B
Jackomy,VISION_ONLY,B
Amalfi Skyline,PASS,B
Gorcombe Moonshine,EW_CANDIDATE,X
Hiero Sport,VISION_ONLY,X
Misterdoc,VISION_ONLY,A
President Scottie,PASS,C
Jukebox Fury,PASS,X
All Inn Hand,VISION_ONLY,B
Bold Light,VISION_ONLY,B
King Kodiak,VISION_ONLY,B
Star Vantage,PASS,B
Kill Vanhowe,PASS,B
One And Gone,PASS,C
Breathe Easy,VISION_ONLY,B
Almeric,PASS,B
Field Of Gold,VISION_ONLY,A
Action,VISION_ONLY,A
Sunshine Star,PASS,B
Bnaider,VISION_ONLY,A
