horse,improvement_score
First Candidate,0.3427
Shorten Sassy,0.038
Hall Lane,0.0142
Ufouria,0.0659
Claim Du Brizais,0.0039
Jour d'Orage,0.0803
Crackalackin,0.1109
Pleasure Garden,0.0849
Catwalk Girl,0.1559
All Authorized,0.2075
Juggernaut,0.2028
Siam Park,0.028
Master Dunraven,0.0855
Manoir De Mirande,0.6026
Crohan Lady,0.0399
Divaboriva,0.3782
Bearami Creek,0.1401
Jaadil,0.085
Doctor Du Mesnil,0.2705
Three County Star,0.1845
Cinating,0.2402
Goomah,0.3335
Cannes,0.3384
City Of Memphis,0.0283
Alcantor,0.0242
Pierre Bonnard,0.0372
Beatific,0.4098
Genoah,0.1253
Servare,0.0693
Langholm,0.1487
Sandy Craic,0.3384
Laravie,0.015
Monticristo Boy,0.0067
Free Pic,0.015
Miss Rainbow,0.0803
Tom Desjy,0.0227
Rule Me In,0.1418
For Her Glory,0.0852
Getmyfriend,0.2859
Pottersjetamay,0.0325
Sense Of Reason,0.1099
Ballela Blaze,0.0365
Little She,0.0807
Fighter's Spirit,0.4167
Carbine Harvester,0.008
Sargent Dennis,0.2196
Correspondence,0.0373
Berkshire Boom,0.0238
Mrembo,0.0796
Cydney Sweenie,0.5848
Lednikov,0.0204
Wicklow Way,0.039
Celestra,0.1558
Street Dancer,0.0837
Squiffy,0.0807
Poetic Twist,0.5499
Hi Ho Idaho,0.4555
Master Haku,0.3027
Therellbguddaysyet,0.1364
Gentleman De Mee,0.0599
Carrig Wells,0.067
Lifetime Ambition,0.2275
Airds Moss,0.2361
Lan De Ghaire,0.149
Mullacash Buzz,0.1323
Minaun View,0.0953
Cisterna,0.1109
Gimme Energy,0.2073
Dial Me In,0.0483
If Dora Could,0.091
Harana,0.3751
Anglesey Lad,0.0249
El Lambo,0.2078
Darzah,0.3862
Foothold,0.0227
Endofastorm,0.039
Kakirra,0.0806
Man Is King,0.0071
Arctic Voyage,0.2494
Miss Pearl,0.1036
Move With The Beat,0.0067
Cobbler's Boy,0.0206
Hoe Joly Smoke,0.0245
Golden Son,0.1414
Newbridge,0.0837
Kaydence,0.0808
Garde Des Champs,0.028
Suspected,0.0339
Similar Story,0.0153
Potters Party,0.0948
Velvet Vulcan,0.0708
Ivynator,0.1161
Siam Fox,0.0121
Existent,0.0486
Dubai Charm,0.0872
Butterfly Beach,0.032
Noble Guest,0.0238
Staniel Cay,0.0385
Varzi,0.0872
Fireblade,0.0849
American Style,0.0805
Time For Sandals,0.0296
Legacy Link,0.0589
Startled,0.0897
Arrange,0.0364
Noemie De La Vis,0.3861
Salsinha,0.4768
The Border Boy,0.1781
Spanish Maid,0.1385
Captains Speech,0.1836
Wakey Wakey Man,0.0823
Spellacy's Cross,0.1404
Working Class Hero,0.0822
Flash Bardot,0.2338
Taritino,0.0606
Lunar Ocean,0.0803
Hurst Hill,0.0303
Millies Mite,0.0266
Red One,0.0837
Lexington Wood,0.2361
Cosmic Blizzard,0.0091
Dalileo,0.0872
Getaway Master,0.1163
Just Dottie,0.0807
Traveling Soldier,0.032
Sea Tempest,0.0852
Distant Rumble,0.0373
Personal Best,0.0266
Orthodox,0.0872
Wareeth,0.2901
Alma Latina,0.2025
Kotari,0.015
Rogue Rebellion,0.0919
Persian Spring,0.2281
Sports Coach,0.0819
Eldrickjones,0.0803
See The Fire,0.0187
Action,0.0703
Aspect Island,0.0448
Tommo's Ginjaninja,0.0813
Lightkeeper,0.0391
Springhill Warrior,0.574
Cruisin Susan,0.1676
Amron Diamond,0.0965
Le Diablo,0.1406
Nirisque,0.3823
Eye Of A Tiger,0.1011
Martymill,0.6364
