horse,assigned_product,tier
Dutch Corner,,
Watchoutitscookie,,
Snapdance,,
Saint Cyr De Pail,,
Storming Nelson,,
Ink Black Heart,,
Crawter,,
Sallyville Lady,,
Empty Nest,,
Berry Edge,,
Kalhandrion,,
Rioja Alta,,
Minella Premier,,
Sintra,,
Caballo Grande,,
Simply Blue,,
Von Krolock,,
Al Shabab,,
Lady Delila,,
Alasrae,,
A Lott Of Kane,,
River Wharfe,,
Barley Lane,,
Accustomed,,
Mister Persistence,,
Chemdawg,,
Nick Rockett,,
Cloonainra,,
Cause For Comment,,
Surfin Usa,,
Catchabird,,
Blazing Duke,,
The Dancen Kid,,
Must Meet Cecil,,
Yoradreamer,,
Spanish Maid,,
Minella Machine,,
Kapamazov,,
D'Jo Dela Barriere,,
Little Lady Lucy,,
Guardami Ancora,,
L'Empire Vert,,
El Curamach,,
Daring Plan,,
Time Was,,
Mahler Moon,,
Lisnamurrican,,
Wandering Ego,,
Snapius,,
Pleasure Garden,,
Merry Wood,,
Moonshine,,
New Monarch,,
Lion Of Mali,,
Tiger Crusade,,
Midnight's Dream,,
Em Four,,
Ice Opera,,
Muy Muy Loco,,
Dragon Sunrise,,
Sure Joyful,,
Savvy Twinkle,,
World Hero,,
Rainbow Seven,,
Smart City,,
Gustosisimo,,
Argento Ocean,,
Withallmyfaith,,
Charm Stone,,X
Aeliana,,X
Bingi,,X
Beiwacht,,X
Chayan,,X
Inkaruna,,X
Best Adventure,,C
Pleaseman,,D
Tommy Pickles,,C
Karma Police,,B
No Tackle,,X
An Buachaill Rua,,C
In The Age,,C
Disguisedlimit,,X
Eric Carmen,,B
Sunset Marquesa,,C
Jericoacoara,,D
Madame La Papillon,,X
Defence Witness,,C
Aboutdamntime,,C
The G Wizard,,X
Fridaysman,,C
Kocktail Bleu,,C
Thewoodcorner,,B
Coastguard Station,,C
Pismo Beach,,X
Bailly's Comet,,X
Koukeo,,B
Havaila,,B
Rastnet,,D
Starglow,,C
Recency Bias,,C
Captain Bruce,,B
Lessay,,X
Henriette Ronner,,D
Baldosa,,B
Asadjumeirah,,D
Moonhall Lass,,B
Conquest Of Power,,C
Timber Twelve,,C
Filly Eilish,,C
Baandee,,C
Vintage Clarets,,C
Late Claim,,C
Habrdi,,B
Munsif,,X
Somersby Roost,,C
Santo Sospir,,C
Fly Away Home,,B
Gringo d'Aubrelle,,C
Kazakh d'Arthel,,B
Glens Anthem,,C
Chip Honcho,,C
Seychelles,,X
Lighthouse Lass,,X
Butternut Princess,,X
Johnich,,X
Mr Monaco,,X
California Grass,,X
Terrestar,,X
Mont De Soleil,,C
Junior Des Mottes,,C
Norman Fletcher,,C
Our Peggy,,X
Selenic,,X
Concert Boy,,C
Heretic,,X
Tenzi,,C
Fahrenheit Seven,,D
Hackney Diamonds,,C
Cadelo,,C
Sorceleur,,C
Kucharsky,,X
Joyfull,,C
Starboss,,X
Myrighthandman,,C
Step Ahead,,B
Gone Country,,A
Southoftheborder,,B
Lumi Plugin,,A
Time Interval,,C
Thunder Rock,,A
Western Soldier,,C
Kells Priory,,X
Stanners Glen,,C
Sanitiser,,C
Moviddy,,A
Moveit Like Minnie,,B
Future Times,,D
Define,,C
Faster Bee,,X
Bad Habits,,D
Waterford Castle,,A
Maywedance,,B
Room Fourteen,,C
East Tyrone,,C
Legendsoftheland,,D
Yorkshire Glory,,C
Louisa Banbou,,D
I Am Rocco,,C
Shadowfax Of Rohan,,C
Indulto Rouge,,C
Peckforton Hills,,C
Hillberry Hill,,C
Moab,,X
Dartmouth Rose,,C
Falls Of Acharn,,C
Pooley's Promise,,C
Saucats,,C
Morfee,,C
Knock Off Soxs,,C
Miss Fedora,,C
Crest Of Arms,,C
Lapidarist,,C
Sorted,,C
Colors Of Freedom,,D
Royal Standard,,C
Flicka's Girl,,X
Dr Ali,,C
American Bay,,C
Time To Take Off,,C
Farasi Lane,,C
Militzie,,C
Combustion,,C
A Lott Of Kane,,C
King's Cruiser,,A
Clover Time,,B
Shades Of May,,B
Berkshire Schmokin,,D
Nobody Told Me,,A
Night Jet,,C
Just A Glance,,C
