Race Time,Race Name,Prize Money,Distance,Going,Horse Number,Horse Name,Age,Weight,Form,Jockey,Trainer,Sire,Dam,Owner,Official Rating,Topspeed,RPR,RPR Master,Topspeed Master,RPR Master PM,POSTDATA Selection,TOPSPEED Selection,Betting Forecast,Spotlight Verdict,Commentary
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,1,CHAMPAGNE JURY 27,7,11-12t,2120-3,Keith Donoghue,G Cromwell,Jukebox Jury,Miss Knowall,Dochas & Mrs J P Duffy Partnership,124,54,126,126,74,126,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],"Bumper winner in the mud; gave Honesty Policy a contest when runner-up on hurdles debut at Leopardstown in March; good comeback third at Down Royal, headed by runner-up Dunleer Crystal late on; claims."
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,2,IFALLGOESWELL 4,6,11-8,-47422,Philip Byrnes,C Byrnes,Kingston Hill,Dromdeals Princess,Come Home Sober Syndicate,112,98,122,122,98,122,Yes,Yes,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],"Placed in three bumpers; last two efforts over hurdles promising, runner-up in Limerick novice (2m3f, soft to heavy) last month and was 2l clear approaching the last when filling the same spot at Thurles (2m4f) on Sunday; drop in trip should be fine."
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,3,COLIN'S FRIEND 27,5,11-6,9-76,Patrick M O'Brien (5),P Downey,Poet's Word,Muzhil,Mrs Marie Foley,,36,104,104,36,104,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,4,EAGLE'S QUEST 27,6,11-6,63-346,Danny Mullins,Ms M Mullins,Wings Of Eagles,Roche D'Or,Jackie Cullen & A D Mullins & Ms Margaret Mullins,,82,115,115,82,115,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,6,LUNAR MAJESTY 25,5,11-5,0,Ross Berry (7),C A Murphy,Order Of St George,Mile From The Moon,Winning Ways Hera Syndicate,,38,58,58,38,58,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],"Order Of St George mare was 42,000euros 3yo but made no impression in a strong 20.5f maiden hurdle at Leopardstown on debut last month."
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,7,ALL NIGHT REVIVAL 62,6,11-4,22,Tiernan Power Roche (3),P Rothwell,Libertarian,Suspended,David L'Estrange & M Stafford,,,,11,22,106,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],Runner-up on sole point-to-point start for Nigel Slevin; beaten a neck in an average-looking bumper for same trainer at Fairyhouse (heavy) in November; has since joined Philip Rothwell; place chance.
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,8,DUNLEER CRYSTAL 27,5,11-4,702,Jack Kennedy,G Elliott,Crystal Ocean,Khirahs Firth,Ms Imelda Mallon,,75,122,122,75,122,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],"Disappointed first two starts, including on heavy; major improvement on latest at Down Royal when runner-up (2m1f, yielding), overcoming bad mistake at the third, pipping Champagne Jury late on; big claims if he handles the ground."
12.40,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive),"20,000",2m,HEAVY,9,THEWAYBACKHOME 14,5,11-4,8629,John Shinnick (3),,Valirann,Yourelookinwell,Rebel Deise Syndicate                                                                   T O'Brien,,,36,36,11,36,No,No,"2/1 Dunleer Crystal, 5/2 Champagne Jury, 9/2 Ifallgoeswell, 11/2 Fabhcun, 9/1 All Night Revival, 12/1 Eagle's Quest, 40/1 Colin's",Champagne Jury could reverse the form with Dunleer Crystal on much deeper ground but IFALLGOESWELL is turned out quickly after being nabbed late on at Thurles on Sunday and should be difficult to reel in down in trip. [Adrian Wall],Runner-up in one of his four point-to-point starts; never a factor on rules debut at Clonmel; best watched.
1.10,Adare Manor Opportunity Handicap Hurdle,"15,500",2m71,HEAVY,3,PORTNACOO 56,8,11-8p,P-74PU,Adam Leahy (4),J Hanlon,Morozov,Lady Shanrod,H Smyth,114,93,122,122,93,122,No,No,"11/4 Kingkong Ciergues, 6/1 Joyau De Thaix, 7/1 The Lovely Man, 15/2 Dixie Mafia, 8/1 Well Del, 9/1 West Cork Wildway, 12/1",The form of KINGKONG CIERGUES's decisive Fairyhouse win has worked out really well and he's fancied to defy an 8lb rise. Mudlover and the generally consistent Positive Thinker rates as an each-way alternative. British raider Dixie Mafia is worth a market check. [Adrian Wall],"Four-time hurdles winner; not solid on his form this term, latterly for new yard; unseated rider at Taunton over fences on latest; best form is on better ground than this."
1.10,Adare Manor Opportunity Handicap Hurdle,"15,500",2m71,HEAVY,9,DIXIE MAFIA 33,7,11-1t,4-8525,John Shinnick,,Sholokhov,Midnight Way,Encore Racing                                                                         C Williams (GB),107,117,122,122,117,122,No,Yes,"11/4 Kingkong Ciergues, 6/1 Joyau De Thaix, 7/1 The Lovely Man, 15/2 Dixie Mafia, 8/1 Well Del, 9/1 West Cork Wildway, 12/1",The form of KINGKONG CIERGUES's decisive Fairyhouse win has worked out really well and he's fancied to defy an 8lb rise. Mudlover and the generally consistent Positive Thinker rates as an each-way alternative. British raider Dixie Mafia is worth a market check. [Adrian Wall],"Record of 2-8 in point-to-points; good second at Aintree on handicap hurdle debut (3m, soft); kept on late when 6l fifth of nine at Ascot two weeks later; British trainer's first runner at the track; watch the betting."
