run_id,race_id,faded_runner,fade_type,reason_codes,finish_pos,sp,success,logged_at
f03d528a,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2025-12-20T22:12:19.722020
f03d528a,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2025-12-20T22:12:19.722095
f03d528a,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2025-12-20T22:12:19.722160
f03d528a,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2025-12-20T22:12:19.722247
eb017b85,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2025-12-21T01:55:39.647023
eb017b85,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2025-12-21T01:55:39.647114
eb017b85,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2025-12-21T01:55:39.647184
eb017b85,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2025-12-21T01:55:39.647246
aea83428,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2025-12-21T09:17:20.494910
aea83428,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2025-12-21T09:17:20.494993
aea83428,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2025-12-21T09:17:20.495042
aea83428,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2025-12-21T09:17:20.495090
68c6f0fd,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T00:14:21.702499
68c6f0fd,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T00:14:21.705438
68c6f0fd,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T00:14:21.709075
68c6f0fd,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T00:14:21.711422
8baccadd,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T00:15:32.077936
8baccadd,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T00:15:32.079999
8baccadd,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T00:15:32.081986
8baccadd,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T00:15:32.083824
a91e3169,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T00:17:24.042624
a91e3169,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T00:17:24.045736
a91e3169,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T00:17:24.049327
a91e3169,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T00:17:24.052518
cd682acc,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T00:36:23.459885
cd682acc,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T00:36:23.463574
cd682acc,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T00:36:23.467036
cd682acc,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T00:36:23.470575
b40bf5ed,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T00:42:13.669919
b40bf5ed,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T00:42:13.672318
b40bf5ed,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T00:42:13.675408
b40bf5ed,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T00:42:13.678740
ba1d1ea5,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:38:58.715535
ba1d1ea5,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:38:58.717561
ba1d1ea5,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:38:58.719568
ba1d1ea5,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:38:58.721782
fbb15ada,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:40:26.482412
fbb15ada,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:40:26.484243
fbb15ada,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:40:26.486129
fbb15ada,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:40:26.487688
8ae324a1,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:41:54.587315
8ae324a1,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:41:54.589268
8ae324a1,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:41:54.590831
8ae324a1,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:41:54.592481
bf0bebc3,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:43:06.024434
bf0bebc3,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:43:06.026668
bf0bebc3,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:43:06.028779
bf0bebc3,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:43:06.030781
0b842969,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:46:11.466318
0b842969,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:46:11.467939
0b842969,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:46:11.469495
0b842969,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:46:11.471051
15e8a8d6,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T01:57:54.082947
15e8a8d6,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T01:57:54.085112
15e8a8d6,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T01:57:54.087093
15e8a8d6,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T01:57:54.089143
4967f49e,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T02:00:00.903381
4967f49e,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T02:00:00.905508
4967f49e,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T02:00:00.908083
4967f49e,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T02:00:00.910409
6a7b587e,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T02:02:26.870614
6a7b587e,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T02:02:26.872638
6a7b587e,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T02:02:26.874630
6a7b587e,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T02:02:26.876408
c121235c,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T02:08:30.554435
c121235c,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T02:08:30.556390
c121235c,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T02:08:30.558623
c121235c,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T02:08:30.561353
cef57d54,TEST_001_KEMPTON_1440,r1,ICM_BANNED,HPC=0.68|MRC=1.00,,,,2026-04-24T02:10:47.226914
cef57d54,TEST_001_KEMPTON_1440,r2,ICM_BANNED,HPC=0.66|FPC=0.67,,,,2026-04-24T02:10:47.229463
cef57d54,TEST_001_KEMPTON_1440,r5,ICM_BANNED,HPC=0.66|FPC=0.69,,,,2026-04-24T02:10:47.231967
cef57d54,TEST_001_KEMPTON_1440,r7,ICM_BANNED,HPC=0.68|FPC=0.71,,,,2026-04-24T02:10:47.234572
