run_id,race_id,track,date,off_time,race_type,class,distance_yards,going,field_size,market_snapshot_ts,input_hash,data_version,chaos_score,structure_class,mof_state,mof_confidence,entropy_score,confidence_ceiling,top4_chassis,win_candidate,win_overlay,stake_cap,stake_used,status,kill_list_triggers,result_1st,result_2nd,result_3rd,result_4th,sp_win_candidate,top4_hit_count,win_hit,pnl_race,pnl_cumulative,roi_race,logged_at
f03d528a,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2025-12-20T22:12:19.721802
eb017b85,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2025-12-21T01:55:39.646808
aea83428,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2025-12-21T09:17:20.494643
68c6f0fd,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T00:14:21.693964
8baccadd,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T00:15:32.075650
a91e3169,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T00:17:24.039132
cd682acc,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T00:36:23.454966
b40bf5ed,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T00:42:13.667244
ba1d1ea5,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:38:58.711285
fbb15ada,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:40:26.480460
8ae324a1,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:41:54.585687
bf0bebc3,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:43:06.022166
0b842969,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:46:11.464483
15e8a8d6,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T01:57:54.080866
4967f49e,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T02:00:00.899823
6a7b587e,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T02:02:26.868442
c121235c,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T02:08:30.552217
cef57d54,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-24T02:10:47.224028
e90f2ec6,TEST_001_KEMPTON_1440,Kempton,2025-12-20,14:40,Handicap,4,2200,Standard,8,2025-12-20T14:35:00Z,0121fa17b322ee50,v12-alpha,0.325,STRUCTURE,DISTRIBUTION_BALANCE,0.550,0.379,0.621,r3|r1|r2,,False,150.00,0.00,OK,,,,,,,,,,,,2026-04-25T14:31:13.827788
