feature,importance
course_return_flag,0.2725206155541845
tag_COURSE_RETURN,0.2231573483808197
rpdc_release_score,0.18714759613749327
rpdc_cash_window_flag,0.05309860148801396
runs_since_place,0.05065278424403244
runs_since_win,0.041242794414441224
days_since_run,0.03904262990335616
rpdc_tag_count,0.029295017771023658
tag_PLACE_FORM,0.023475394038413377
stable_heat,0.01789256127285439
current_or,0.013050744130990959
tag_WIN_STREAK,0.01291801823660251
tag_CYCLE_RUN_1,0.012624490108720517
campaign_run_no,0.011505963501643162
tag_STABLE_WARM,0.0069772621258948845
tag_CYCLE_RUN_2,0.0024682858560980017
tag_FRESH_RETURN,0.001972094982207669
tag_CYCLE_RUN_3,0.0009577978532096041
or_delta_to_win,0.0
class_delta,0.0
rpdc_suppression_score,0.0
distance_revert_flag,0.0
jockey_upgrade_flag,0.0
rpdc_trap_flag,0.0
tag_MARK_READY,0.0
tag_MARK_NEAR,0.0
tag_DISTANCE_RETURN,0.0
tag_BELOW_LAST_WIN_MARK,0.0
tag_JOCKEY_UPGRADE,0.0
tag_TRAINER_RELEASE_ZONE,0.0
tag_PLACE_MARK_READY,0.0
