feature,importance
rpr_vs_field,0.3822664896737796
rpr_num,0.09997996922238793
implied_prob,0.07894304533543256
sp_dec,0.07553928537082602
ts_num,0.04567424542453169
or_num,0.04436173165569178
log_sp,0.03948667710176282
sp_rank,0.034224345215536245
wgt_lbs,0.02792620662253916
field_size,0.026132159094063235
or_vs_field,0.025009771500920985
class_num,0.01586371466791958
is_fav,0.014273202377780977
odds_contraction_score,0.012590798108623492
dist_f,0.008476785547293496
draw_pct,0.008096509870086999
mark_compression_score,0.007763337156583489
draw_num,0.007060571733818388
going_fit_score,0.0058541557492723375
trainer_timing_score,0.005491149030931787
odds_resilience_score,0.004911753178739533
distance_fit_score,0.004418305362859321
age_num,0.004303844085252708
curr_or_minus_best_or,0.003989781726625419
going_code,0.0036052153013024025
curr_or_minus_last_win_or,0.002758378534911476
is_aw,0.0023216229851765187
runs_since_win,0.0017983451266102037
runs_since_mkt_support,0.0017312477926842388
course_fit_score,0.0013928317952803869
quiet_run_score,0.001139731176334756
decoy_support_flag,0.0008217368344824829
runs_since_place,0.0006517264382596069
release_window_score,0.00044899468276933524
jockey_switch_intent,0.0003014459854059342
setup_run_flag,0.00027437847408346875
cash_run_flag,0.00011651005943986397
